embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,CropStatus,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
36,RedRiver,712.4865314844886,6750,561,1021,578,8911,1535,0,0,0,0,0,0,0,136,17797.24137559674,12796349.8406741,8911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,12.506903086902772,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,RockHarbor,245.9995815998971,1889,327,592,112,2921,450,858,1358,2,858,1358,78.8,67,274,17834.410959365327,4484874.541803434,2921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,11.874003935302717,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,RushyMarshPond,28.63514225269669,115,5,12,2,135,18,0,34,1,0,34,100,79.1,138,3107.043937459133,516844.2132756431,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4.714486794186835,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,SaltPond,190.2773586503323,2490,350,890,1022,5455,671,0,466,1,0,466,100,73.1,139,34452.08039204288,14168114.52183727,5455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,28.66867628756877,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,SandwichHarbor,2768.844439174077,12545,3770,2081,1108,19676,1954,30312,34947,3,30312,34947,-600,-403.4,420,73043.26713518742,49785570.19922805,19676,40.381,95.745,137.10%,10552,242,2121,1290,564,1246,4092,16016,15072,14749.16025,5.326828781,20108,19164,7.1062135964089,5.326828781467966,6.92129891042794,active,3.6769419409428092,18.43,2,18.45,349.24913073237514,349.6281314168378,0.5511665046215057,0.620042085647583,0.6882942616939545,0.051383085548877716,0.11466485634446144,0.23833855986595154,78.59278428990365,14.438677967610584,78.67861671581984,14.454551023674346,98.27999101808396,98.17345444245461
41,SaquatucketHarbor,713.251205491812,9245,1688,1228,443,12604,1425,1927,3386,1,1927,3386,60.1,46.2,141,20383.23899222968,14016508.21427562,12604,17.243,9.277,-46.20%,8039,0,2254,679,181,273,1378,10583,6349,6298.00575,8.829996643,11961,7727,17.67119340696956,8.829996642848016,10.833490277344795,active,14.127144267534883,989.52,2,528.38,18751.437864476386,10012.819082819986,0.9408926367759705,1.0904757976531982,1.2613808512687683,0.4982674717903137,0.6558368802070618,0.8309405148029327,7482.408620815368,4514.351657272842,3925.669554625968,2296.4105054108136,4665.593626148035,8737.458278030968
42,ScortonHarbor,2837.174970408337,18590,3090,3236,2058,26974,3108,53794,57696,3,53794,57696,-568.9,-970.5999999999999,426,70954.2719615117,56209921.26268603,26974,39.74,158.071,297.80%,13325,98,2370,1480,977,1086,6166,19239,14650,14515.035,5.116016866,25405,20816,9.507344552711109,5.116016865858274,7.33687566579797,active,28.744980247009583,549.1099999999999,9,510.78,10405.653292265572,9679.298480492815,0.6007314390606351,0.6981016000111898,0.8500401907496982,0.0552274597187837,0.1437493008044031,0.3325739900271098,2657.5986172842468,553.351419946582,2473.3283043784963,514.7234444401547,2613.159094743089,2809.2560212114367
43,SesuitHarbor,665.3980794446703,9919,1181,1317,447,12864,1559,0,0,0,0,0,0,0,143,15520.41543719622,12173802.85295045,12864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,19.332787991717787,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,StageHarbor,1021.107236328206,8891,1276,1774,642,12585,2070,1711,3764,6,1711,3764,458,384,864,57984.01354044118,21050422.108269375,12585,28.877,10.39,-64.00%,8346,0,836,712,3095,574,2814,13590,13357,10547.32425,10.32930125,16404,16171,12.32485634442699,10.329301247464533,15.83673038901302,active,1.7764690145664936,1.04,1,1.05,19.708035592060234,19.897535934291582,0.5909863114356995,0.8421527743339539,1.1268399953842163,0.0645769014954567,0.2186722308397293,0.49795499444007874,6.06211884465456,1.574081439587474,6.1204084489300845,1.589216838045046,10.84576630983776,10.742473297363116
45,SulfurSpringsBucksCreek,464.5006660003036,8371,966,1322,841,11708,1738,4019,6242,3,4019,6242,106,92,435,56000.8622425107,14862237.207714282,11708,24.523,10.44,-57.40%,5345,1170,670,387,340,203,1685,8115,7983,8957.02575,19.2831279,9800,9668,25.205561276832157,19.283127895438035,20.813748413427852,active,7.1256375696774095,21.39,2,21.41,405.34123203285424,405.72023271731695,0.6580121219158173,0.9387494325637817,1.273838460445404,0.08810988068580627,0.2964518964290619,0.6105875670909882,140.004980529913,45.36679073305429,140.13493161386282,45.40782856907696,412.85176824132833,412.4661056834196
46,SwanPondRiver,842.1822942012607,14916,1218,2305,749,19586,2956,0,3915,3,0,3915,300,230,438,49993.32100704267,24485079.96508716,19586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,23.2562476495373,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,TaylorsPondMillCreek,257.8258891172942,4529,447,804,299,6080,1091,1843,2570,2,1843,2570,119,102,294,33644.05339267283,8089375.411368265,6080,10.778,7.04,-34.70%,3263,NA,362,264,208,134,1306,4232,4028,3936.6645,15.26869359,5538,5334,23.581805616246672,15.26869358805574,20.688380124516407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,ThreeBays,5028.320334781984,61552,9451,8256,6062,86332,8463,14486,25643,7,14486,25643,400.2,322.8,1036,178970.31786832286,107023118.79229394,86332,130.759,70.254,-46.30%,53584,39,7920,2828,8555,1641,10372,74567,54657,47759.72475,9.498146811,84939,65029,17.16915276913104,9.498146810503622,12.932549175552776,abandoned,16.855657368428517,325.64,5,191.87,6170.88914442163,3635.943066392882,0.494578492641449,0.6249878525733947,0.7559527277946472,0.026279699057340622,0.04543787389993668,0.07645001262426376,1437.3924590672364,108.01783313002814,849.5460740940975,65.08484031517338,1822.40942853133,3092.9765273723992
48,ThreeBays,5028.320334781984,61552,9451,8256,6062,86332,8463,14486,25643,7,14486,25643,400.2,322.8,1036,178970.31786832286,107023118.79229394,86332,130.759,70.254,-46.30%,53584,39,7920,2828,8555,1641,10372,74567,54657,47759.72475,9.498146811,84939,65029,17.16915276913104,9.498146810503622,12.932549175552776,active,55.036983178205816,2011.44,19,692.14,38116.85683778234,13116.07668720055,0.6672740986472682,0.8151869115076567,1.001569274224733,0.16501336250650256,0.32533288511790726,0.5520833722854915,12130.466579976124,6038.4724298254705,3969.0473356958937,1751.4635011227979,6574.047333421977,19104.952420519403
49,WaquoitBay,5562.163153797083,36327,12414,9124,9139,67005,8505,5685,15440,10,5685,15440,680,478,1490,203297.0373537598,149790023.59567446,67005,90.866,42.3,-53.40%,27063,164,4184,4575,10230,2102,19845,48319,40233,33188.8065,5.966888346,68164,60078,12.046572196333033,5.966888345830565,10.80119340961564,abandoned,3.5844558172516257,3784.6099999999997,3,1825.91,71718.48902121835,34601.05698836414,0.6337636907895406,0.7100015679995219,0.7970129251480103,0.04327446719010671,0.10830981781085332,0.2502966324488322,18521.06980643639,2671.1849415444913,8981.275425503634,1350.9509356653168,10895.001099535488,22582.345302513815
49,WaquoitBay,5562.163153797083,36327,12414,9124,9139,67005,8505,5685,15440,10,5685,15440,680,478,1490,203297.0373537598,149790023.59567446,67005,90.866,42.3,-53.40%,27063,164,4184,4575,10230,2102,19845,48319,40233,33188.8065,5.966888346,68164,60078,12.046572196333033,5.966888345830565,10.80119340961564,active,15.911919696698181,4204.84,5,374.46000000000004,79681.8619028063,7096.029815195072,0.6475420832633972,0.7287271738052368,0.8185274124145507,0.1161533884704113,0.2104296937584877,0.3677946925163269,20703.47951553257,3569.5691029529644,1913.8046365157545,625.5477993147338,2234.3610099797133,25089.810792082193
50,Wareham,11077.57311200755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.48,80.58,-37.80%,18199,8242,10870,4683,8836,4125,21694,54954,51489,47292.57,4.269217591,76648,73183,NA,4.269217591417849,6.606410922323156,abandoned,8.203890572228758,17.36,4,17.4,328.97259411362086,329.7305954825462,0.5981680452823639,0.6551587134599686,0.7320323586463928,0.033701402600854635,0.07673744484782219,0.1628213506191969,80.48902905566783,11.330747305358948,80.67041629707634,11.351992834339514,74.28438609067058,74.11361738701386
50,Wareham,11077.57311200755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.48,80.58,-37.80%,18199,8242,10870,4683,8836,4125,21694,54954,51489,47292.57,4.269217591,76648,73183,NA,4.269217591417849,6.606410922323156,active,688.0939246510286,23793.030000000002,111,7724.77,450878.732772074,146384.65586584536,0.5779090878125783,0.628670270915504,0.6882728719496513,0.03229494116831202,0.07405580271471728,0.16323788017705754,101022.69813897641,10639.921811028129,33131.99253459711,3781.1410493246267,32978.72397365686,101577.62222913263
51,WellfleetHarbor,4495.801294883601,15346,1610,4774,2772,24623,5055,10140,19210,7,10140,19210,370.1,290.9,1050,154374.93214945338,130216485.79732783,24623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5.47688796389243,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,WestFalmouthHarbor,685.3270804268899,9222,438,955,196,10812,873,2096,6763,6,2096,6763,275,284,906,73623.20338053923,13623201.440309407,10812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,15.776408533667182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,WildHarbor,862.2174338862332,9720,2110,1474,298,13613,1716,3587,5885,2,3587,5885,94.8999996185,69.1999998093,304,54050.621428381,16099678.240930095,13613,23.658,16.121,-31.90%,6782,0,1905,764,642,276,567,10370,9178,8641.0845,10.02193201,10937,9745,15.788360876261512,10.021932009716432,11.302253488516008,active,4.997624546557426,113.07,2,113.09,2142.6803696098564,2143.059370294319,0.6875552535057068,0.7777096033096313,0.859420895576477,0.19244790822267532,0.29499250650405884,0.43064144253730774,610.4157437935231,230.68522729188442,610.5234021339091,230.72606310455976,1133.3802909788315,1133.179852338637
54,WychmereHarbor,43.31464706170945,1063,155,118,4,1340,152,0,241,1,0,241,100,83,153,4078.751827128609,876187.7687350286,1340,3.866,0.66,-82.90%,2281,0,223,98,0,22,253,958,671,1412.0565,32.59997705,1211,924,30.93641737611138,32.59997704675449,21.332275862333518,active,2.8409199447482023,6.55,1,6.56,124.1227241615332,124.31222450376455,0.8238920569419861,1.0486338138580322,1.3170740604400635,0.33519622683525085,0.5744386315345764,0.8392215967178345,47.540679074150326,26.04264927249104,47.61326026357651,26.082409042372703,213.85584942670943,213.5298496562419
