rowname,TN,NO3,NO3_TN_ratio,pop,imp
TN,0,1.0599999999999998e-68,8.63e-24,1.11e-6,8.27e-9
NO3,1.0599999999999998e-68,0,6.58e-51,3.27e-7,2.55e-9
NO3_TN_ratio,8.63e-24,6.58e-51,0,6.08e-6,2.2e-10
pop,1.11e-6,3.27e-7,6.08e-6,0,2.46e-45
imp,8.27e-9,2.55e-9,2.2e-10,2.46e-45,0
