EMBAY_NAME,embFID,bogsurf_area_ha,bogshed_area_ha,embayshed_area_ha,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,NO3_mgl,TN_mgl,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
NamskaketCreek,21,1.0454088743027943,0.93,629.7390435089897,0.94,17.6235318275154,17.81303216974675,0.25935065746307373,0.8167033195495605,0.6443241238594055,0.8167033195495605,1.0626558065414429,0.0980704054236412,0.25935065746307373,0.533786952495575,5.257115184423923,1.6694388853365183,5.313643304686547,1.6873898410928252,6.915887652022053,6.842314379128202
StageHarbor,44,1.7764690145664936,1.04,1021.107236328206,1.05,19.708035592060234,19.897535934291582,0.2186722308397293,0.8421527743339539,0.5909863114356995,0.8421527743339539,1.1268399953842163,0.0645769014954567,0.2186722308397293,0.49795499444007874,6.06211884465456,1.574081439587474,6.1204084489300845,1.589216838045046,10.84576630983776,10.742473297363116
WychmereHarbor,54,2.8409199447482023,6.55,43.31464706170945,6.56,124.1227241615332,124.31222450376455,0.5744386315345764,1.0486338138580322,0.8238920569419861,1.0486338138580322,1.3170740604400635,0.33519622683525085,0.5744386315345764,0.8392215967178345,47.540679074150326,26.04264927249104,47.61326026357651,26.082409042372703,213.85584942670943,213.5298496562419
SandwichHarbor,40,2.916897503365746,16.35,2768.844439174077,16.36,309.83305954825465,310.022559890486,0.11275796592235565,0.6149616241455078,0.5439791679382324,0.6149616241455078,0.6785410642623901,0.052620790898799896,0.11275796592235565,0.22594138979911804,69.59307001290323,12.76042716950141,69.63563458171845,12.768231712112724,87.14691886481592,87.09365057700124
SulfurSpringsBucksCreek,45,5.480825691830224,19.47,464.5006660003036,19.48,368.9571663244353,369.1466666666667,0.30860960483551025,0.947165310382843,0.6652671098709106,0.947165310382843,1.2850466966629028,0.09309658408164978,0.30860960483551025,0.6241225004196167,127.6415174275151,41.58872566604913,127.70707547447324,41.61008607984782,375.6353314031329,375.44250012417854
PhinneysHarborEelPondBackRiver,26,1.5761585492108316,77.66,1276.510371620226,9.51,1471.6596577686516,180.21482546201233,0.20909589529037476,0.6546854376792908,0.6086456179618835,0.6546854376792908,0.7258400917053223,0.10196104645729065,0.20909589529037476,0.3845420181751251,351.90893225063746,112.39399720033587,43.09366399309247,13.763416345289647,79.73401945478349,651.1192377348566
PleasantBay,27,1.9922350394375443,67.97,6012.28155545155,67.98,1288.0338261464751,1288.2233264887063,0.309561163187027,0.8058264255523682,0.5764200091362,0.8058264255523682,1.0609674453735352,0.11309822648763657,0.309561163187027,0.5805667638778687,379.1045512751949,145.63439736020254,379.16032655123945,145.6558236361125,525.3266441291586,525.2493674824788
WildHarbor,53,4.570837547230815,87.64,862.2174338862332,87.65,1660.7809993155374,1660.9704996577686,0.2945743799209595,0.781818687915802,0.6894403696060181,0.781818687915802,0.8657770752906799,0.1894637495279312,0.2945743799209595,0.43483877182006836,474.2514193625844,178.6888954493928,474.30553294306844,178.709284415099,878.4223406516453,878.322121331548
LewisBay,16,8.012414978627243,86.65,3534.098850186387,86.66,1642.020465434634,1642.2099657768651,0.42167192697525024,1.0066884756088257,0.9011310935020447,1.0066884756088257,1.1201483011245728,0.3058455288410187,0.42167192697525024,0.537798285484314,603.7593747022302,252.89688431775426,603.8290526450693,252.9260703401798,1199.3335518505544,1199.195156564165
BassRiver,3,15.250106544657907,109.25,4779.487101658365,109.26,2070.291238877481,2070.4807392197126,0.22651554644107819,0.9094323515892029,0.6581007242202759,0.9094323515892029,1.2354503870010376,0.06541060656309128,0.22651554644107819,0.5234169960021973,687.68898535157,171.28513850009256,687.7519317117852,171.3008167736395,1818.7201846551484,1818.5537266481324
ScortonHarbor,42,1.905552705240083,150.19,2837.174970408337,150.2,2846.1056399726217,2846.295140314853,0.16486790776252747,0.7265406250953674,0.6087200045585632,0.7265406250953674,0.9071187973022461,0.058701805770397186,0.16486790776252747,0.3987894058227539,755.2681031675914,171.38679884922996,755.3183906769574,171.39821018146577,768.4257332519127,768.3745730832542
PopponessetBay,31,2.9644390776057343,174.29,5300.363357264758,11.38,3302.8014647501714,215.6513894592745,0.24568191170692444,0.7581225037574768,0.6696259379386902,0.7581225037574768,0.8562044501304626,0.12707361578941345,0.24568191170692444,0.43124428391456604,914.5597443216132,296.37794055907415,59.714785073038946,19.351546064388458,54.19606272016781,830.0379412564188
PocassetHarbor,29,15.887798813968685,286.36,1697.049292874472,280.51,5426.531800136893,5315.674099931554,0.04233304411172867,0.6494513750076294,0.5889685153961182,0.6494513750076294,0.7206152677536011,0.020679639652371407,0.04233304411172867,0.08596327155828476,1287.2390839141392,83.90581807766334,1260.9422944152648,82.19172031347027,1468.5933157419188,1499.2206406040993
BarnstableHarbor,2,1.0158741342841069,274.03,8771.098471846923,51.4,5192.87787816564,974.0317590691308,0.1300390064716339,0.7869585752487183,0.6588200330734253,0.7869585752487183,0.9169641733169556,0.06478818506002426,0.1300390064716339,0.23785331845283508,1492.6232633453744,246.64480737189427,279.9723962192178,46.263340141281496,388.33029806730514,2070.314233061938
HerringRiverHarwich,15,0.8008859950372981,204.59,3865.655609802233,204.6,3876.987501711157,3877.177002053388,0.5096640586853027,1.0879746675491333,0.8038168549537659,1.0879746675491333,1.4462658166885376,0.2237911969423294,0.5096640586853027,0.833023726940155,1540.647944764281,721.7198230383182,1540.7232489308951,721.7550994361401,1214.347468123307,1214.2881158521377
CentervilleRiver,7,0.7262383608813231,113.9,2778.93803438895,113.91,2158.408898015058,2158.5983983572896,1.7219140529632568,2.2481725215911865,1.4030433893203735,2.2481725215911865,2.7139933109283447,1.3149616718292236,1.7219140529632568,2.1511237621307373,1772.3667037232278,1357.4861825929522,1772.52231098431,1357.6053648741283,1849.8822424355967,1849.719843854047
BournesPond,5,8.73960877813729,349.48,604.4674301358305,349.48,6622.657960301164,6622.657960301164,0.3137483596801758,0.7637391090393066,0.6723121404647827,0.7637391090393066,0.8494621515274048,0.21072643995285034,0.3137483596801758,0.44565021991729736,1847.4282505989745,758.9340082130242,1847.4282505989745,758.9340082130242,3157.04548559577,3157.04548559577
GreenPond,12,23.8304905979942,382.32,641.4920314206738,382.33,7244.977084188912,7245.166584531144,0.21730023622512817,0.7583640217781067,0.6764546036720276,0.7583640217781067,0.833292543888092,0.14885225892066956,0.21730023622512817,0.3028472661972046,2006.8040176181535,575.0259434295202,2006.8565077839207,575.0409838653705,4867.535579179089,4867.408266763658
ParkersRiver,25,11.681368824152042,505.49,1127.474830983997,72.28,9579.052799452431,1369.7084736481863,0.14664213359355927,0.7909979820251465,0.6535117030143738,0.7909979820251465,0.9374058246612549,0.07308787107467651,0.14664213359355927,0.26288333535194397,2767.503426297429,513.0640234008066,395.72523225539214,73.36300937983007,1569.3466916647424,10975.22217998908
ThreeBays,48,5.423737639190119,534.35,5028.320334781984,45.37,10125.950787132102,859.7630527036277,0.5456362366676331,0.9458001852035522,0.7958335876464844,0.9458001852035522,1.1232798099517822,0.32212501764297485,0.5456362366676331,0.728559136390686,3498.0453189209916,2018.0375446829753,297.0081708981854,171.34530439275116,430.9309207925493,5075.33474819261
SaquatucketHarbor,41,7.086972362243135,535.23,713.251205491812,80.94,10142.62681724846,1533.815770020534,0.6960873007774353,1.1150740385055542,1.0129413604736328,1.1150740385055542,1.2258609533309937,0.5884661078453064,0.6960873007774353,0.813434898853302,4130.897088811392,2578.7211476951306,624.6937024613609,389.9663503436727,714.6999282721184,4726.079103151544
ButtermilkBay,6,6.784934814651507,1391.35,2874.470552150678,59.65,26366.13011635866,1130.3695414099932,0.03214876353740692,0.6065726280212402,0.5602596998214722,0.6065726280212402,0.6446717381477356,0.015586931258440018,0.03214876353740692,0.06584896892309189,5841.433328140676,309.59995573579783,250.43410933524373,13.273178826061265,72.68887129272193,1695.48467851012
GreatPond,10,9.836994092083657,1530.01,3334.852706885451,210.36,28993.741861738537,3986.329199178645,0.23680981993675232,0.7877959609031677,0.7037416696548462,0.7877959609031677,0.8641927242279053,0.1638331413269043,0.23680981993675232,0.3284483253955841,8342.731034686087,2507.807518890801,1147.0362288197887,344.79669392609776,1221.3342440853726,8883.122298883156
WaquoitBay,49,6.069507140307908,1951.94,5562.163153797083,129.09,36989.32980150582,2446.2599178644764,0.10917117446660995,0.7106420993804932,0.634016215801239,0.7106420993804932,0.799468994140625,0.043066900223493576,0.10917117446660995,0.255903422832489,9601.025413205334,1474.9410728088467,634.9561823573863,97.54405519067902,770.2656165632677,11647.008037760514
Wareham,50,3.906427075387952,2916.51,11077.57311200755,13.38,55267.96431211499,253.55145790554417,0.047117218375205994,0.5982071161270142,0.5412231683731079,0.5982071161270142,0.6442827582359314,0.020754249766469002,0.047117218375205994,0.10938307642936707,12075.782106443123,951.1375696170717,55.39976361617447,4.363510045045764,57.122131373170824,12451.215797546072
