rowname,TN,NO3,NO3_TN_ratio,pop,imp
TN,TRUE,TRUE,TRUE,TRUE,TRUE
NO3,TRUE,TRUE,TRUE,TRUE,TRUE
NO3_TN_ratio,TRUE,TRUE,TRUE,TRUE,TRUE
pop,TRUE,TRUE,TRUE,TRUE,TRUE
imp,TRUE,TRUE,TRUE,TRUE,TRUE
