rowname,LR_kghay_MEP,TN_mgl_p50,NO3_mgl_p50
LR_kghay_MEP,0,0.141,0.0633
TN_mgl_p50,0.141,0,0.0511
NO3_mgl_p50,0.0633,0.0511,0
