embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_land2016_a,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_land2016_a,marg_TN_removal_kgN_y_1,marg_TN_removal_kgN_y_2,marg_TN_removal_kgN_y_3,marg_TN_removal_kgN_y_1_MEP,marg_TN_removal_kgN_y_2_MEP,marg_TN_removal_kgN_y_3_MEP,TN_removal_kgN_y_1,TN_removal_kgN_y_2,TN_removal_kgN_y_3,TN_removal_kgN_y_1_MEP,TN_removal_kgN_y_2_MEP,TN_removal_kgN_y_3_MEP,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
26,PhinneysHarborEelPondBackRiver,1276.510372,8683,1631,1622,459,12396,1456,4363,7024,4,4363,7024,80,68.2,508,77219.8301,26982346.1,12396,29.302,19.245,-34.30%,8466,0,1833,417,2347,558,4293,13620,12903,10702.5555,8.384229175,17913,17196,9.710849419,8.384229175,13.47110089,8.515109585,91.88,3,91.91,1741.129144,1741.697645,0.561419924,0.649747829,0.762724678,0.124664684,0.280577173,0.492090205,411.9430067,178.0523626,129.4520795,106.5520604,68.44570798,412.0779235,178.1106231,129.4967092,106.5863216,68.46798653,193.8782975,213.4928262,331.8222561,362.5648401,355.4881808,576.6536129,193.8147319,213.4066291,331.7282392,362.4463284,355.5109346,576.6953684,770.5945035,770.3429766
27,PleasantBay,6012.281555,53970,10294,10199,12529,87090,10563,15560,29576,20,15560,29576,1030,740.1999998,2560,355306.4895,204507956.3,87090,127.203,81.032,-36.30%,34290,0,7117,4074,33403,2283,14636,81167,78001,46460.89575,7.727664668,95803,92637,14.48534956,7.727664668,15.40796105,7.173589467,126.53,5,126.58,2397.74783,2398.695332,0.620375788,0.847832751,1.099585378,0.101374231,0.249230066,0.486307847,699.6528831,261.6641944,164.5086247,151.0420426,99.50830187,699.9462968,261.7504467,164.5772136,151.0915995,99.54104776,326.2356288,312.6129661,475.5367834,455.8584005,406.1823111,632.8298666,326.0998432,312.400986,475.2872996,455.6795011,406.2174649,632.8943774,978.1677937,977.7814104
28,PlymouthDuxbury,19337.51105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.71,420.95,-7.40%,113728,18953,23256,19136,7946,69865,42925,252884,216935,166082.8275,8.588635169,295809,259860,NA,8.588635169,13.43813065,366.9781351,14120.41,112,6673.29,267582.2527,126459.0739,0.601337154,0.709219956,0.837038501,0.14765939,0.202698439,0.284074221,72804.67909,21235.68638,8291.757227,6539.241819,5350.381908,34239.54615,9942.778925,4637.93573,4231.195604,3170.06624,16070.87573,9893.077381,16242.58069,26929.91019,16728.11324,25074.18007,34082.35652,24612.16575,20628.93446,56822.53831,14259.19345,20543.46032,57314.45319,121275.0499
29,PocassetHarbor,1697.049293,9636,2493,1893,787,14808,1967,0,0,0,0,0,0,0,129,35721.20757,43812948.97,14808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8884.8,NA,NA,NA,8.725733579,5.235440147,NA,20.09301513,566.28,6,559.26,10731.02538,10597.99614,0.557284365,0.629117737,0.707958768,0.021747015,0.051526648,0.11757216,2445.019435,185.7860961,138.3459072,108.9015297,70.9578421,2414.804228,183.5277905,136.4215205,107.56337,70.09265131,1147.562698,885.9404406,1298.943131,1391.655112,1027.018503,1525.41277,1162.348955,901.5203882,1314.363932,1409.642113,1023.725568,1519.369899,2927.972257,2964.725047
31,PopponessetBay,5300.363357,49047,6738,9433,11217,76652,10069,7403,13851,7,7403,13851,317.5,242.2,917,125930.5852,128788471,76652,69.11,37.95,-45.10%,32300,227,3765,2668,7584,1971,9394,48513,31885,25242.4275,4.76239567,57907,41279,14.46165005,4.76239567,7.78795664,15.76723213,491.4,12,288.47,9312.046817,5466.516372,0.681612452,0.751252875,0.835389147,0.115904237,0.229816495,0.386215533,2717.670785,991.6533844,519.4437381,481.1503101,356.5626392,1568.37804,601.2550476,300.6349706,269.9666745,210.9497736,721.9412036,557.0043014,816.647707,632.6041573,528.3192373,742.8033937,1265.916612,1282.987443,1410.255683,1090.006725,510.6813461,710.4360635,1373.808279,2340.241232
40,SandwichHarbor,2768.844439,12545,3770,2081,1108,19676,1954,30312,34947,3,30312,34947,-600,-403.4,420,73043.26714,49785570.2,19676,40.381,95.745,137.10%,10552,242,2121,1290,564,1246,4092,16016,15072,14749.16025,5.326828781,20108,19164,7.106213596,5.326828781,6.92129891,3.676941941,6.76,2,6.78,128.1022313,128.481232,0.469196871,0.557465166,0.6663194,0.052144304,0.134720974,0.293417588,26.0732945,6.307097041,6.24402607,3.913234669,2.451112479,26.1504644,6.325746465,6.262489,3.924779877,2.458355309,12.23753063,18.94084891,30.48625067,16.9012899,25.0947883,41.04868857,12.20167807,18.87818615,30.41006904,16.85179285,25.10444037,41.0664011,36.11589914,36.00936256
41,SaquatucketHarbor,713.2512055,9245,1688,1228,443,12604,1425,1927,3386,1,1927,3386,60.1,46.2,141,20383.23899,14016508.21,12604,17.243,9.277,-46.20%,8039,0,2254,679,181,273,1378,10583,6349,6298.00575,8.829996643,11961,7727,17.67119341,8.829996643,10.83349028,14.12714427,1034.98,2,548.5,19612.90642,10394.09377,0.993442029,1.150435388,1.331109941,0.485891625,0.647598118,0.840266138,8260.219732,4659.286342,2087.189818,2072.973796,1638.484842,4269.192269,2353.974822,1083.072239,1146.838792,850.1433889,2071.043077,1285.203334,2279.347377,2349.524524,1529.929611,2519.358052,4007.441328,3248.887216,3895.6118,4433.705489,1403.339896,2287.053007,4843.253159,9138.869925
42,ScortonHarbor,2837.17497,18590,3090,3236,2058,26974,3108,53794,57696,3,53794,57696,-568.9,-970.6,426,70954.27196,56209921.26,26974,39.74,158.071,297.80%,13325,98,2370,1480,977,1086,6166,19239,14650,14515.035,5.116016866,25405,20816,9.507344553,5.116016866,7.336875666,22.77588198,636.86,7,632.24,12068.5188,11980.96964,0.51410701,0.618619348,0.764736993,0.056831952,0.156734435,0.343322558,2813.194021,719.6302067,435.921689,401.002523,270.6880779,2794.885343,715.2420828,432.5970872,398.3869822,269.0029979,1315.354102,1064.268925,1547.899035,1523.994713,1201.560199,1771.623834,1324.267764,1074.336423,1558.17617,1535.501377,1199.450864,1767.752989,3234.550503,3258.186501
44,StageHarbor,1021.107236,8891,1276,1774,642,12585,2070,1711,3764,6,1711,3764,458,384,864,57984.01354,21050422.11,12585,28.877,10.39,-64.00%,8346,0,836,712,3095,574,2814,13590,13357,10547.32425,10.32930125,16404,16171,12.32485634,10.32930125,15.83673039,1.776469015,0.91,1,0.92,17.24453114,17.43403149,0.5970999,0.843494356,1.118543267,0.072660491,0.211014062,0.462839574,5.312804026,1.329085786,1.315794929,0.825515293,0.516685735,5.371186488,1.343691125,1.330254214,0.834580028,0.522362312,2.507646033,4.334981137,7.224703634,4.436645952,7.169889238,12.29111549,2.48038901,4.282610362,7.155811129,4.388421539,7.17928239,12.30835288,9.502957148,9.399664135
45,SulfurSpringsBucksCreek,464.500666,8371,966,1322,841,11708,1738,4019,6242,3,4019,6242,106,92,435,56000.86224,14862237.21,11708,24.523,10.44,-57.40%,5345,1170,670,387,340,203,1685,8115,7983,8957.02575,19.2831279,9800,9668,25.20556128,19.2831279,20.81374841,5.480825692,25.71,1,25.72,487.2053799,487.3948802,0.666744888,0.940147102,1.264572859,0.105840728,0.302630156,0.604160905,167.3008361,53.85357045,45.68904759,33.14700071,20.87878622,167.3659084,53.874517,45.70681851,33.15976663,20.88688315,80.63022665,95.00154654,159.188775,238.9347558,232.7768953,422.9233493,80.59887742,94.95872559,159.13768,238.8418574,232.7943387,422.9553597,495.9620495,495.7692182
48,ThreeBays,5028.320335,61552,9451,8256,6062,86332,8463,14486,25643,7,14486,25643,400.2,322.8,1036,178970.3179,107023118.8,86332,130.759,70.254,-46.30%,53584,39,7920,2828,8555,1641,10372,74567,54657,47759.72475,9.498146811,84939,65029,17.16915277,9.498146811,12.93254918,67.150064,2925.45,23,1441.88,55437.37762,27323.67535,0.574773208,0.706125436,0.813137371,0.047409434,0.123361011,0.266578626,14079.08063,2686.066637,1628.385148,1505.564957,1012.183015,6967.018544,1325.081274,821.671593,776.7716558,506.2063692,3337.041065,2459.987454,4289.146562,6560.581458,4638.347381,7574.773353,6764.48895,5992.378786,7094.559347,13351.48601,3983.196206,6372.504095,13695.18792,27786.35359
49,WaquoitBay,5562.163154,36327,12414,9124,9139,67005,8505,5685,15440,10,5685,15440,680,478,1490,203297.0374,149790023.6,67005,90.866,42.3,-53.40%,27063,164,4184,4575,10230,2102,19845,48319,40233,33188.8065,5.966888346,68164,60078,12.0465722,5.966888346,10.80119341,17.08856095,5664.47,7,1388.37,107341.9004,26309.65901,0.630190458,0.706569254,0.792320354,0.105648781,0.20952761,0.393603082,27508.76979,7492.214248,2901.572981,2498.859345,2388.286779,6659.241731,1659.117932,697.1414573,787.9184517,593.4134904,3131.103966,1504.067056,2314.310271,3894.980559,2024.334173,2682.117476,12978.42865,13630.23019,6829.728137,15945.27451,1700.462265,2087.779477,8284.248773,33799.26003
50,Wareham,11077.57311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.48,80.58,-37.80%,18199,8242,10870,4683,8836,4125,21694,54954,51489,47292.57,4.269217591,76648,73183,NA,4.269217591,6.606410922,596.7525523,17068.81,95,7145.17,323454.5336,135401.216,0.512933385,0.592261812,0.689662945,0.040486327,0.083578829,0.207819996,67906.95494,8697.037983,5880.162836,4904.644612,3275.290006,28334.67486,3739.660603,2763.557709,2231.33255,1435.619872,13805.45715,10763.08002,18660.20083,14854.48579,12485.18457,19549.27442,32918.03902,32938.44017,33493.67024,35313.31752,11226.20227,17238.91343,30504.28546,72870.46392
53,WildHarbor,862.2174339,9720,2110,1474,298,13613,1716,3587,5885,2,3587,5885,94.89999962,69.19999981,304,54050.62143,16099678.24,13613,23.658,16.121,-31.90%,6782,0,1905,764,642,276,567,10370,9178,8641.0845,10.02193201,10937,9745,15.78836088,10.02193201,11.30225349,4.570837547,159.38,1,159.39,3020.256454,3020.445955,0.713573694,0.78299278,0.858589292,0.19537349,0.31799224,0.464807183,863.7574441,350.7927168,215.6271121,201.9376556,133.2976262,863.811639,350.8147267,215.6406412,201.9493534,133.3057971,414.0636712,351.9837054,550.9276282,765.7034426,562.0761471,929.8354262,414.0376932,351.9567209,550.9020578,765.6554029,562.0852114,929.8520601,1597.395743,1597.295524
54,WychmereHarbor,43.31464706,1063,155,118,4,1340,152,0,241,1,0,241,100,83,153,4078.751827,876187.7687,1340,3.866,0.66,-82.90%,2281,0,223,98,0,22,253,958,671,1412.0565,32.59997705,1211,924,30.93641738,32.59997705,21.33227586,2.840919945,6.99,1,7,132.4607392,132.6502396,0.866835475,1.089864731,1.35913527,0.339349478,0.568329036,0.849986672,52.72905615,27.49648908,23.37501045,16.92664392,10.66073512,52.80449114,27.53582597,23.40845109,16.95062473,10.67594219,24.97899017,33.25325437,55.72777788,107.9491804,113.4702393,210.5763057,24.94330589,33.19893212,55.66067777,107.7949673,113.4997443,210.6304506,228.1998393,227.8738396
