EMBAY_NAME,pct_load_from_fertilizer_all
StageHarbor,0.19177113862013717
NamskaketCreek,0.4103088125530962
WychmereHarbor,2.2160903728369306
SandwichHarbor,0.27952916946962314
SulfurSpringsBucksCreek,0.8807096064999106
PhinneysHarborEelPondBackRiver,1.0984621749334802
ScortonHarbor,2.314064416982879
BassRiver,0.3991211997655283
WildHarbor,0.6370535463097079
PopponessetBay,0.8625190036267989
LewisBay,0.1920667683704573
CentervilleRiver,0.3309409186874462
BarnstableHarbor,0.3431235135808615
PleasantBay,0.24370927676344695
BournesPond,1.9736326869026295
GreenPond,3.3910191567884227
HerringRiverHarwich,3.4745165221386003
ParkersRiver,1.1576864853035824
ThreeBays,1.7177488588551517
SaquatucketHarbor,2.6196481854026406
WaquoitBay,0.6635386873568723
GreatPond,1.5611419247933291
Wareham,17.163642709821833
PlymouthDuxbury,2.97650715112839
