rowname,TN_p50_MEAN,NO3_p50_MEAN,NO3_TN_ratio_p50_MEAN,pop_dens,imp_dens
TN_p50_MEAN,1,0.73,0.48,-0.39,-0.29
NO3_p50_MEAN,0.73,1,0.9,-0.22,-0.019
NO3_TN_ratio_p50_MEAN,0.48,0.9,1,-0.022,0.2
pop_dens,-0.39,-0.22,-0.022,1,0.34
imp_dens,-0.29,-0.019,0.2,0.34,1
