rowname,TN,NO3,NO3_TN_ratio,pop,imp
TN,1,0.79,0.65,0.29,0.43
NO3,0.79,1,0.97,0.27,0.49
NO3_TN_ratio,0.65,0.97,1,0.24,0.47
pop,0.29,0.27,0.24,1,0.68
imp,0.43,0.49,0.47,0.68,1
