RE_pct,LR_kgNhay,RR_kgNhay,TN_mgl,HLR_md,area_m2,Reference,Wetland type,Inflow type,Water regime,Air temp (oC),Prec. (mm/yr),study,WBZ-type,Country,Q_m3d,RE_prp,L_kgy,R_kgy
12.82051282051282,702,90,1.887096774193548,0.10184804928131418,50000,"Leonardson et al, 1994",NA,NA,NA,NA,NA,Walton,Floodplain,Sweden,5092.402464065709,0.1282051282051282,3510,450
17.63485477,11259.52,1985.6,4.82,0.639561944,30,Li et al. (2008) FWS,Free Water Surface,River/Lake water,constant,15.5625,1028,Land,NA,NA,19.18685832,0.1763485477,33.778560000000006,5.9568
53,1046.128071,547.941,3.9,0.085398442,89184,Martin (2013) Tancat de la Pipa FWSCW,Free Water Surface,Agricultural runoff,"continuous, variable",17.69166667,450,Land,NA,NA,7616.174651328,0.53,9329.7885884064,4886.7570144
31.9,1216.3009404388715,388,3.059645663066615,0.10883778234086243,20000,"Mitsch W., et al., 2014",NA,NA,NA,NA,NA,Walton,Floodplain,USA,2176.755646817249,0.319,2432.601880877743,776
50,645,323,3.225,0.05475701574264202,30000,"Mitsch et al., 2014; Fink and Mitsch, 2007",NA,NA,NA,NA,NA,Walton,Floodplain,USA,1642.7104722792608,0.5,1935,969
88.91566265060241,83,73.8,13.010109468766704,0.001746654137518997,59000,"Peterjohn and Correll, 1984; Mander et al., 1997",NA,NA,NA,NA,NA,Walton,Riparian Wetland/Bank,USA,103.05259411362083,0.8891566265060241,489.7,435.42
1,1170,13,83.12611012433393,0.03853524982888432,1130,"Petersen et al., 2020a; Petersen et al., 2020b",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,43.544832306639286,0.01,132.21,1.469
56,515,288,108.69565217391305,0.012971937029431897,11690,"Petersen et al., 2020a; Petersen et al., 2020b",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,151.64194387405888,0.56,602.035,336.672
40,445,178,84.58467971868465,0.014403832991101985,4768,"Petersen et al., 2020a; Petersen et al., 2020b",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,68.67747570157427,0.4,212.176,84.8704
40.4494382,1854.1666670000002,750,18.7,0.037474333,1.92,Radoux et al. (1997) Iris,Free Water Surface,Sec. Domestic Wastewater,Constant,8.575,936,Land,NA,NA,0.07195071936,0.40449438200000004,0.356000000064,0.144
56.74157303,1854.1666670000002,1052.083333,18.7,0.037474333,1.92,Radoux et al. (1997) Typha,Free Water Surface,Sec. Domestic Wastewater,Constant,8.575,936,Land,NA,NA,0.07195071936,0.5674157303,0.356000000064,0.20199999993599999
40.75503147,14692.261450000002,5987.835776,40.46860431,0.099431896,2,Radoux et al. (2003) L II Phragmites,Free Water Surface,Sec. Domestic Wastewater,constant,17.5625,648,Land,NA,NA,0.198863792,0.40755031469999997,2.9384522900000003,1.1975671552
35.70559906,14692.261450000002,5245.959965,40.46860431,0.099431896,2,Radoux et al. (2003) L II Shallow pond,Free Water Surface,Sec. Domestic Wastewater,constant,17.5625,648,Land,NA,NA,0.198863792,0.3570559906,2.9384522900000003,1.049191993
21.2309738,14692.261450000002,3119.3101779999997,40.46860431,0.099431896,2,Radoux et al. (2003) L II Typha,Free Water Surface,Sec. Domestic Wastewater,constant,17.5625,648,Land,NA,NA,0.198863792,0.212309738,2.9384522900000003,0.6238620356
75.46743942,8454.293834999999,6380.239079000001,23.25219226,0.099431896,2,Radoux et al. (2003) L III Phragmites,Free Water Surface,Tert. Domestic Wastewater,constant,17.5625,648,Land,NA,NA,0.198863792,0.7546743942,1.6908587669999997,1.2760478158000002
49.78723459,8454.293834999999,4209.159105,23.25219226,0.099431896,2,Radoux et al. (2003) L III Shallow pond,Free Water Surface,Tert. Domestic Wastewater,constant,17.5625,648,Land,NA,NA,0.198863792,0.49787234589999996,1.6908587669999997,0.841831821
48.33902517,8454.293834999999,4086.723225,23.25219226,0.099431896,2,Radoux et al. (2003) L III Typha,Free Water Surface,Tert. Domestic Wastewater,constant,17.5625,648,Land,NA,NA,0.198863792,0.4833902517,1.6908587669999997,0.817344645
26.910299,1669.477875,449.261488,4.329558741,0.076614191,720,Reinhardt et al. (2006) Wetland Boden,Free Water Surface,Agricultural runoff,"continuous, variable",8.745833333,1140,Land,NA,NA,55.16221752,0.26910299,120.20240700000001,32.346827136
38,5619.522937000001,2110.86255,13.51,0.12991102,45,Sajn et al. (2005) SFW surface flow wetland,Free Water Surface,Sec. Domestic Wastewater,constant,12.85833333,1188,Land,NA,NA,5.845995899999999,0.38,25.287853216500004,9.498881475
27.9,5619.522937000001,1545.344933,13.51,0.12991102,45,Sajn et al. (2005) WSP pond,Free Water Surface,Sec. Domestic Wastewater,constant,12.85833333,1188,Land,NA,NA,5.845995899999999,0.27899999999999997,25.287853216500004,6.9540521985
29.126213592233007,51.5,15,11.444444444444445,0.0012320328542094457,425000,Tiemeyer & Kahle 2014,NA,NA,NA,NA,NA,Walton,Rewetted Fen,Germany,523.6139630390144,0.2912621359223301,2188.75,637.5
25.76271186,7487.309645,1928.93401,5.585,0.385735797,985,Toet et al. (2005) Ditch 3,Free Water Surface,Tert. Domestic Wastewater,Constant,8.925,770,Land,NA,NA,379.949760045,0.2576271186,737.5000000325,189.999999985
66.0685155,644.5846477000001,425.8675079,5.585,0.030978782,951,Toet et al. (2005) Ditch 5,Free Water Surface,Tert. Domestic Wastewater,Constant,8.925,770,Land,NA,NA,29.460821682,0.660685155,61.29999999627,40.500000001290005
57.5562701,634.0468909,364.93374109999996,5.585,0.030978782,981,Toet et al. (2005) Ditch 6,Free Water Surface,Tert. Domestic Wastewater,Constant,8.925,770,Land,NA,NA,30.390185142,0.575562701,62.19999999729,35.80000000191
22.23427332,7611.971104,1692.4664599999999,5.585,0.391731691,969,Toet et al. (2005) Ditch 8,Free Water Surface,Tert. Domestic Wastewater,Constant,8.925,770,Land,NA,NA,379.588008579,0.2223427332,737.5999999776,163.999999974
53,3139,1663.67,13,0.074948665,1,Tuncsiper et al. (2005) Marmara Research Center FWS,Free Water Surface,Sec. Domestic Wastewater,"continuous, variable",13.82083333,751,Land,NA,NA,0.074948665,0.53,0.3139,0.16636700000000001
28.67132867,2087.8,598.6,2.86,0.199863107,30,Zhou & Hosomi (2006) Pilot-scale SFW,Free Water Surface,River/Lake water,Constant,13.90416667,1333,Land,NA,NA,5.99589321,0.2867132867,6.263400000000001,1.7958
