DERname,bogFID,TOWN,EMBAY,terminus,area_bogsurf,area_bogshed,area_bogshedmarg,area_subemb,area_embayment,NO3_mgl,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Q_bogsurf_m3d,Q_bogshed_m3d,Q_bogshedmarg_m3d,Q_subemb_m3d,Q_embayment_m3d,area_bogsurf_ha,area_bogshed_ha,area_bogshedmarg_ha,area_subemb_ha,area_embayment_ha,Nload_Sept_kgN_y,Nload_Fert_kgN_y,Nload_Stor_kgN_y,Nload_Atmo_kgN_y,Nload_Tota_kgN_y,Nload_Parc_kgN_y,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_mgl,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,NO3_RE_pct_walton2020_a,NO3_RE_pct_walton2020_b,NO3_RE_pct_walton2020_c,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_walton2020_c,cumsum_TN_Load_kgN_y,cumsum_NO3_Load_kgN_y,cumsum_NO3_removal_kgN_y_walton2020_a,cumsum_NO3_removal_kgN_y_walton2020_b
Co-U,165,Falmouth,Great Pond,1,16947.2098983,3271028.421146496,337889.8955629435,33349466.96890424,33349435.04363617,0.2968561351299286,21469,5093,4262,2852,33676,4910,32.11502075594345,6198.610052557283,640.3025084569236,63197.354038404024,63197.29353991178,1.69472098983,327.1028421146496,33.78898955629435,3334.946696890424,3334.9435043636167,2105.7520721118,499.53865123039714,418.03136295777585,279.7337980186712,3303.055884318644,481.5893928021304,672.0948533894276,396.5814180756954,0.8449561351299286,1913.0164499113052,1128.8090850300985,0.3657599150394116,42.7946389148983,41.80843495829747,33.61867136185479,287.62056567362066,280.99233963738357,225.9493600009314,18169.428784450207,9107.80158193417,5326.583420326417,4653.3974929591595
Co-M,164,Falmouth,Great Pond,1,40316.822737,2811911.668283494,2812734.238033841,33349466.96890424,33349435.04363617,0.4136897027492523,21469,5093,4262,2852,33676,4910,76.40051706342109,5328.582234640439,5330.141007132438,63197.354038404024,63197.29353991178,4.0316822737,281.1911668283494,281.2734238033841,3334.946696890424,3334.9435043636167,1810.1917989474202,429.4241386202996,359.35709381498464,240.47077230416147,2839.443803686866,413.99421178591615,805.1496491642035,199.70563018233395,0.9617897027492524,1871.8973099692503,464.29683265972045,0.13216771245592807,50.59487879422242,50.90564903108245,41.41473909442719,407.36448910673585,409.8666545785211,333.45062652105076,25254.042276277196,12825.122340299762,9219.886087459607,7771.332868100577
Co-L1,583,Falmouth,Great Pond,0,34586.1847012,4273950.046691878,1003816.279534187,33349466.96890424,33349435.04363617,0.2918080389499664,21469,5093,4262,2852,33676,4910,65.54093837354026,8099.149965277983,1902.2352850912735,63197.354038404024,63197.29353991178,3.45861847012,427.39500466918776,100.3816279534187,3334.946696890424,3334.9435043636167,2751.391308232438,652.7009144733247,546.2028858207951,365.50225958726134,4315.797368113819,629.2482800047171,863.2307792803841,249.58832167759562,0.8399080389499665,2484.6281603330112,718.3874664980914,0.23417298077972085,48.05972792676734,48.42863198886994,38.70057417088227,414.8663639022661,418.05085731235135,334.07526800129006,31483.101269221068,15335.94820556054,9634.752451361872,8189.3837254129285
Co-L2,584,Falmouth,Great Pond,1,98545.8684108,16462950.87906184,613384.2019136199,33349466.96890424,33349435.04363617,0.3319311141967773,21469,5093,4262,2852,33676,4910,186.74475789332027,31197.348257200967,1162.3651618193348,63197.354038404024,63197.29353991178,9.85458684108,1646.295087906184,61.33842019136199,3334.946696890424,3334.9435043636167,10598.16316561031,2514.157389838992,2103.9345759854277,1407.8886463421961,16624.143777776928,2423.8195138640194,3782.299099595875,383.81102735113336,0.8800311141967774,10027.806217857546,1017.577538213521,0.3165769276815459,43.1667909163388,42.34576868665321,33.95485492975862,1632.6971441531164,1601.6436277522362,1284.2741722773455,148576.80287939883,72926.72938391096,35216.38017235898,28835.485517888912
MM-U1,153,Barnstable,Three Bays,0,30860.5545695,3349429.464981947,3350080.348418696,27321721.11501001,55486539.1111816,0.7840157151222229,22900,4115,3331,4156,35547,3511,58.48085652369453,6347.180298938411,6348.413725278578,51774.75501643855,105147.18150802012,3.08605545695,334.9429464981947,335.0080348418696,2732.172111501001,5548.65391111816,2807.361015992074,504.46683758984204,408.3545652519475,509.49311713812483,4357.784368361146,430.42115839074984,1817.5895941701579,588.9685456159987,1.332115715122223,3088.2539920251925,1000.7124094514378,0.205672917660768,38.297901500533186,34.49143336330119,29.810247703670836,696.0986724592279,626.9127036914965,541.8279602582695,65547.76196294701,33139.258121984334,16073.289888874904,14031.821340053102
MM-U2,177,Barnstable,Three Bays,1,31853.7754871,3538383.599258711,188625.4126195486,27321721.11501001,55486539.1111816,0.7299825549125671,22900,4115,3331,4156,35547,3511,60.36301356165987,6705.249030053161,357.44580244933763,51774.75501643855,105147.18150802012,3.18537754871,353.8383599258711,18.86254126195486,2732.172111501001,5548.65391111816,2965.7349945830747,532.9257424763908,431.39140903738956,538.2355736893999,4603.623661678801,454.70286314328274,1787.7945873779456,561.2504514894816,1.2780825549125672,3130.1420267071194,982.6596624236114,0.2105009195148193,38.84599844149888,35.46084319116849,30.250318093981935,694.4866575500381,633.9670352102911,540.8135495488204,62459.507970921826,31321.668527814174,15377.191216415675,13404.908636361606
MM-M,155,Barnstable,Three Bays,1,143133.775487,13023988.11782231,9484645.375539364,27321721.11501001,55486539.1111816,0.872490644454956,22900,4115,3331,4156,35547,3511,271.2389943965149,24680.50205544343,17973.435446076855,51774.75501643855,105147.18150802012,14.3133775487,1302.398811782231,948.4645375539365,2732.172111501001,5548.65391111816,10916.198384525589,1961.5788800140956,1587.8540095569751,1981.1231653313687,16944.895370075592,1673.658188998661,7865.11348428234,549.4938883238417,1.420590644454956,12805.990189531303,894.6868162989522,0.17242961677961896,39.08669670207868,35.880201107789674,30.44562348406678,3074.213052875731,2822.018535516387,2394.5828380191674,215384.647300542,114266.4608757319,46432.939630773144,37671.73881480324
MM-L1,424,Barnstable,Three Bays,1,29255.442299,9747.113406752751,9861.744940959285,27321721.11501001,55486539.1111816,0.8614770770072937,22900,4115,3331,4156,35547,3511,55.43916327789966,18.470813263474106,18.68804041310053,51774.75501643855,105147.18150802012,2.9255442299,0.9747113406752751,0.9861744940959285,2732.172111501001,5548.65391111816,8.16964993072898,1.4680397146266264,1.1883451493125865,1.4826665987820802,12.681508562778298,1.2525607382877486,5.811924555915348,1.986613121933217,1.4095770770072937,9.509661772746984,3.250561613649588,6.313633229228419e-4,99,62.03463867774944,168.2081911102077,5.753805310356194,3.60540639848548,9.776133164195178,44.47577637203311,20.36096639915419,25.188934562435207,16.452693624361746
MM-L2,152,Barnstable,Barnstable Harbor,0,28595.2518391,205394.6811707119,46276.85557262937,35649663.27656484,102735318.7979138,0.3909160792827606,12160,2429,2280,2413,19282,2219,54.18810009701045,389.223623743486,87.69479968403948,67556.2339134137,194683.78071451347,2.85952518391,20.53946811707119,4.627685557262937,3564.966327656484,10273.53187979138,70.05954877216789,13.99462532628255,13.136165394781479,13.902441709477067,111.09278120270899,12.78471535571057,55.57416557292118,19.43475297424424,0.9390160792827607,133.49421482340333,46.68404935705748,0.013611477385601381,77.08449535151989,60.961637782928314,84.09023381474663,42.8390650777044,33.87892151744906,46.73244577086385,1887.3580232441238,878.7654370203322,787.5092518678183,608.6885481392792
BSB,135,Harwich,Saquatucket Harbor,1,141650.824177,2892654.904978008,2758296.51209434,7806070.321639214,7183698.772219688,0.8074852824211121,9245,1688,1228,443,12604,1425,268.4287965889406,5481.590944505211,5226.981330174121,14792.52997432603,13613.133758225482,14.1650824177,289.2654904978008,275.82965120943396,780.6070321639214,718.3698772219687,3425.8715966711843,625.513386174252,455.05357714572364,164.16020739051754,4670.598767381678,528.054843186202,1616.7075403613774,114.1332957118003,1.355585282421112,2714.086554149955,191.60400724238386,0.038697910699451214,56.95613691470399,55.4535778049489,49.09307401294471,920.8141601985694,896.5221737727719,793.691429362469,59329.365944214704,29533.873940436228,23213.317441025196,18633.33699750788
