 ,HUC8,Fig2a_WetlandDensity,Fig2b_PercentNRemoval,Fig2c_NSurplus,Fig2d_EstNRemoval,,,,
95,2050104,0.026575424,0.111879094,13.804357,0.752085942,,,,
96,2050105,0.043302424,0.184329964,9.254635,0.826821902,,,,
97,2050106,0.042105616,0.180811321,11.757176,1.045124796,,,,
98,2050107,0.031830829,0.138335886,8.840713,0.606264728,,,,
99,2050201,0.02004943,0.086028934,4.992106,0.211043785,,,,
100,2050202,0.015151729,0.063921215,4.290676,0.135485015,,,,
101,2050203,0.018467372,0.081490724,5.671552,0.230507133,,,,
102,2050204,0.01350238,0.057462855,16.479271,0.469061099,,,,
103,2050205,0.016913944,0.074403349,6.823597,0.251262394,,,,
104,2050206,0.024549697,0.105789549,16.960179,0.863194126,,,,
105,2050301,0.031303436,0.141811072,21.176428,1.451687938,,,,
106,2050302,0.012363492,0.051197877,27.699969,0.714542349,,,,
107,2050303,0.012666351,0.053707876,13.969848,0.359496918,,,,
108,2050304,0.019724694,0.086484725,25.726592,1.086016957,,,,
109,2050305,0.029007598,0.128069748,37.787394,2.311754303,,,,
110,2050306,0.027665267,0.116408244,67.796461,4.030032499,,,,
111,2060001,0.000784363,0.003520604,2.437933,0.004077266,,,,
112,2060002,0.119904845,0.364264529,22.863916,4.144711015,,,,
113,2060003,0.036333043,0.156285025,7.89279,0.592699022,,,,
114,2060004,0.062866438,0.255173352,2.484596,0.326442021,,,,
115,2060005,0.175903418,0.435243845,15.432601,3.286723583,,,,
116,2060006,0.062357637,0.254556423,16.223105,2.047121279,,,,
117,2070001,0.019945679,0.086572635,6.033512,0.249823903,,,,
118,2070002,0.027187503,0.114056227,3.831607,0.214024195,,,,
119,2070003,0.027733694,0.120766858,6.225937,0.370692445,,,,
120,2070004,0.034082537,0.149597525,24.261534,1.792496674,,,,
121,2070005,0.018488882,0.076981079,23.383925,0.891079764,,,,
122,2070006,0.019073585,0.081311037,23.769469,0.941851329,,,,
123,2070007,0.044014948,0.194892627,5.938791,0.561436313,,,,
124,2070008,0.074296134,0.295438829,17.932063,2.632092542,,,,
125,2070009,0.037706726,0.158442485,23.399127,1.870643788,,,,
126,2070010,0.116409848,0.395419668,7.627873,1.459160375,,,,
127,2070011,0.103689445,0.356681641,8.6815,1.516704449,,,,
128,2080101,6.37E-06,2.59E-05,0.807124,1.03E-05,,,,
129,2080102,0.145264554,0.416472597,5.563652,1.139740192,,,,
130,2080103,0.034630461,0.142901894,11.655782,0.838295766,,,,
131,2080104,0.098189842,0.353474123,14.022336,2.422742141,,,,
132,2080105,0.106164375,0.360962233,7.534511,1.382359908,,,,
133,2080106,0.084276198,0.31844781,11.60825,1.841502269,,,,
134,2080107,0.094405589,0.34628536,3.322488,0.557811919,,,,
135,2080108,0.151978794,0.408891286,2.956015,0.613327274,,,,
136,2080109,0.274707402,0.476242647,27.22501,6.345437796,,,,
137,2080110,0.314043343,0.488279183,7.251023,1.749163664,,,,
138,2080111,0.461507975,0.496789588,18.125088,4.412521507,,,,
139,2080201,0.020615895,0.087826895,4.007957,0.170221927,,,,
140,2080202,0.014760367,0.061666318,7.678702,0.239902087,,,,
141,2080203,0.027707226,0.12057609,4.673616,0.278319113,,,,
142,2080204,0.025069855,0.104684433,7.346131,0.383477828,,,,
143,2080205,0.066046439,0.272758383,6.313285,0.846152003,,,,
144,2080206,0.178281448,0.450589525,10.535008,2.337377851,,,,
145,2080207,0.068585013,0.281034153,9.750555,1.331761094,,,,
146,2080208,0.194495689,0.4582822,7.84052,1.764922049,,,,
147,3010101,0.015278402,0.066381182,13.013636,0.423062242,,,,
148,3010102,0.052374444,0.225128603,7.41142,0.80034057,,,,
149,3010103,0.024537045,0.104006529,8.09125,0.406840492,,,,
150,3010104,0.048609352,0.208378823,8.216579,0.853944979,,,,
151,3010105,0.037209969,0.156843564,12.303912,0.961969112,,,,
152,3010106,0.058561371,0.241192857,4.359399,0.517604974,,,,
153,3010107,0.264472418,0.492687673,18.677032,4.495176641,,,,
154,3010201,0.113589659,0.372023273,7.642873,1.390033446,,,,
155,3010202,0.16425606,0.424531573,18.079159,3.771450851,,,,
156,3010203,0.223205083,0.469982009,23.624702,5.517392401,,,,
157,3010204,0.140881961,0.412482025,12.884322,2.632160157,,,,
158,3010205,0.344333157,0.496541077,12.656359,3.102515518,,,,
159,3020101,0.08518901,0.321337917,20.59332,3.369870427,,,,
160,3020102,0.10106764,0.362422933,14.603199,2.552762853,,,,
161,3020103,0.152548269,0.424405109,26.108838,5.414054906,,,,
162,3020104,0.282413109,0.498497925,11.853133,2.872678954,,,,
163,3020105,0.144308099,0.424058131,2.74341,0.571531788,,,,
164,3020201,0.092249205,0.343879882,25.359969,4.287226513,,,,
165,3020202,0.220305944,0.477240201,33.191767,7.557237652,,,,
166,3020203,0.14986902,0.416337756,47.657546,9.877668784,,,,
167,3020204,0.270236544,0.489380283,11.192887,2.702632163,,,,
168,3020301,0.266023782,0.494419813,5.904146,1.40810726,,,,
169,3020302,0.174632254,0.447837084,11.825425,2.585035205,,,,
170,3030002,0.03774167,0.162868462,17.119196,1.377863166,,,,
171,3030003,0.028312815,0.118782426,14.445385,0.843205948,,,,
172,3030004,0.085485932,0.317693808,12.018506,1.896311586,,,,
173,3030005,0.282625694,0.484701616,13.225849,3.169104825,,,,
174,3030006,0.21435917,0.466355125,51.877863,12.02252963,,,,
175,3030007,0.300635863,0.495567421,47.687576,11.53483493,,,,
176,3040101,0.02063151,0.087229409,17.32235,0.752654444,,,,
177,3040102,0.019613758,0.082378991,30.539756,1.278690326,,,,
178,3040103,0.021216157,0.089336895,15.553229,0.689154118,,,,
179,3040104,0.041715275,0.180538575,5.356024,0.477443943,,,,
180,3040105,0.028495273,0.1209593,24.174239,1.466959975,,,,
181,3040201,0.263379006,0.480256449,7.375469,1.718359943,,,,
182,3040202,0.23372577,0.461000301,10.549796,2.410337949,,,,
183,3040203,0.306622483,0.488896361,22.838865,5.48661807,,,,
184,3040204,0.41242636,0.476027011,18.208687,4.41404284,,,,
185,3040205,0.28534137,0.486857103,8.173969,1.965366715,,,,
186,3040206,0.435839077,0.493196894,10.48933,2.533660601,,,,
187,3040207,0.326795489,0.472260206,3.250558,0.776775187,,,,
188,3040208,0.187814558,0.451874522,1.861018,0.412649185,,,,
189,3050101,0.017907748,0.075016204,10.061178,0.37742947,,,,
190,3050102,0.01965945,0.083058681,19.13942,0.783802481,,,,
191,3050103,0.038707248,0.161671646,7.966153,0.640424392,,,,
192,3050104,0.141258391,0.414051922,3.772602,0.776698322,,,,
193,3050105,0.0300324,0.126983887,9.077028,0.563459888,,,,
194,3050106,0.03929585,0.166746584,4.834473,0.397757535,,,,
195,3050107,0.039603147,0.167335413,5.186629,0.429379622,,,,
196,3050108,0.042191881,0.180755885,6.424088,0.574847723,,,,
197,3050109,0.032328166,0.135563643,10.014049,0.681965688,,,,
198,3050110,0.171854912,0.438774761,11.611429,2.513154313,,,,
199,3050111,0.163976592,0.438027742,9.487139,1.984750805,,,,
200,3050112,0.378868215,0.490186246,3.160011,0.764728761,,,,
201,3050201,0.292319569,0.489121732,2.812436,0.679064697,,,,
202,3050202,0.306069605,0.480463159,9.059454,2.211667036,,,,
203,3050203,0.10292323,0.354836073,11.179546,2.021545226,,,,
204,3050204,0.12524804,0.396470038,10.728287,2.092127897,,,,
205,3050205,0.220375181,0.469226094,14.502284,3.368475711,,,,
206,3050206,0.302548387,0.475209905,6.259579,1.498229089,,,,
207,3050207,0.29478802,0.479089596,7.849867,1.892665975,,,,
208,3050208,0.294462272,0.483901269,5.294528,1.251424784,,,,
209,3050209,0.315518435,0.491663388,1.641353,0.401065141,,,,
210,3050210,0.25531947,0.47928508,1.564766,0.368987165,,,,
211,3060101,0.026283666,0.113050992,8.36399,0.455992841,,,,
212,3060102,0.030424609,0.12937227,14.807527,0.932881212,,,,
213,3060103,0.037075318,0.155896978,9.292505,0.703874779,,,,
214,3060104,0.044046331,0.187224681,25.049992,2.279729214,,,,
215,3060105,0.037479195,0.162338778,4.697063,0.378134324,,,,
216,3060106,0.24349357,0.490564887,7.32895,1.767098316,,,,
217,3060107,0.034769636,0.143129437,4.825559,0.347133567,,,,
218,3060108,0.152866119,0.430398907,10.683983,2.272654051,,,,
219,3060109,0.632929229,0.48853407,4.551304,1.103180173,,,,
220,3060110,0.376381875,0.47513596,3.882978,0.916250017,,,,
221,3060201,0.125210382,0.390827523,11.569,2.258619566,,,,
222,3060202,0.275988448,0.49613091,11.788421,2.795734631,,,,
223,3060203,0.220557481,0.478421017,13.154167,3.056501568,,,,
224,3060204,0.370863116,0.509336497,2.274479,0.563340438,,,,
225,3070101,0.043103095,0.182987614,14.082516,1.278860084,,,,
226,3070102,0.140914359,0.408676398,6.00824,1.234018672,,,,
227,3070103,0.061835305,0.259585994,5.040326,0.624138076,,,,
