"","HUC8","WetlandDensity","NSurplus"
"1","01010002",0.0585907082276904,1.623849
"2","01010003",0.0901006893824559,4.365647
"3","01010004",0.108124854348293,8.175619
"4","01010005",0.14243970762532,7.970005
"5","01010006",0.109113450088149,1.598004
"6","01010007",0.0841934694214876,1.369447
"7","01010008",0.0583984784942798,2.568682
"8","01010009",0.112194427032677,6.694975
"9","01010010",0.157669166945407,15.718136
"10","01010011",0.268570688333565,0.580432
"11","01020001",0.0907190352406947,1.762616
"12","01020002",0.102606062674647,1.702712
"13","01020003",0.167445462445417,1.589758
"14","01020004",0.0993072430739456,1.753625
"15","01020005",0.157977463988707,6.274039
"16","01030001",0.0758381668274171,1.809197
"17","01030002",0.063882818072508,1.93029
"18","01030003",0.0995466462845379,7.064852
"19","01040001",0.0648946593744992,2.312832
"20","01040002",0.0692236575445776,4.364668
"21","01050001",0.122372686797179,1.463718
"22","01050002",0.152395753673183,2.675912
"23","01050003",0.171888227523774,1.764932
"24","01050004",0.144682890874614,1.45515
"25","01060001",0.117893196967087,8.025815
"26","01060002",0.0999055271051264,8.478846
"27","01060003",0.227678016426023,2.244513
"28","01070001",0.0276658015992311,2.864047
"29","01070002",0.0480209987276801,2.71383
"30","01070003",0.0683951460840667,2.809571
"31","01070004",0.109980653713161,3.053658
"32","01070005",0.140999939502184,3.001482
"33","01070006",0.119132107245043,2.785403
"34","01080101",0.0817220490679408,4.795487
"35","01080102",0.0454352282179379,7.866092
"36","01080103",0.0541237437439547,8.241209
"37","01080104",0.0503203609239371,2.781917
"38","01080105",0.0245701976176076,10.181296
"39","01080106",0.0484157469521951,4.447334
"40","01080107",0.0509992599771094,3.474996
"41","01080201",0.0888392601857019,10.705662
"42","01080202",0.14518439756091,3.104927
"43","01080203",0.0582394448823837,9.946706
"44","01080204",0.0849985924412829,12.188844
"45","01080205",0.108912374909374,15.265564
"46","01080206",0.0679036183868694,3.094683
"47","01080207",0.0925775368088462,3.268414
"48","01090001",0.178928960443279,9.354249
"49","01090002",0.198139787626169,5.033842
"50","01090003",0.12401347077645,3.16181
"51","01090004",0.173474954956681,8.59221
"52","01090005",0.176677527970436,2.568845
"53","01100001",0.152705856212844,8.761716
"54","01100002",0.0786658572444761,3.208703
"55","01100003",0.0969470100756778,2.908216
"56","01100004",0.092038457698212,3.034122
"57","01100005",0.0790348556630057,7.364915
"58","01100006",0.0638784246014168,3.298639
"59","02020001",0.0837258621853576,2.795366
"60","02020002",0.0758092953764744,3.829223
"61","02020003",0.0747995691529287,11.715785
"62","02020004",0.0642444616626385,14.207365
"63","02020005",0.032241409463458,6.695031
"64","02020006",0.0674235421893027,7.31762
"65","02020007",0.110561304032283,9.197745
"66","02020008",0.0836117512503178,4.814986
"67","02030101",0.0546078445288559,3.874463
"68","02030102",0.0175745783102544,3.599751
"69","02030103",0.125837423894778,3.971139
"70","02030104",0.0886724821656854,3.378871
"71","02030105",0.132255448643918,14.31481
"72","02030201",0.0369333228485823,3.646553
"73","02030202",0.0308058882947329,5.260932
"74","02030203",0.00210566416131903,24.418573
"75","02040101",0.0482055691233324,4.733443
"76","02040102",0.0207634844166141,3.702717
"77","02040103",0.0593147664907888,6.734234
"78","02040104",0.0872987668069761,4.042628
"79","02040105",0.11276029232732,14.18198
"80","02040106",0.0434802720885111,11.680018
"81","02040201",0.15453890474482,39.604639
"82","02040202",0.21415009881457,14.88785
"83","02040203",0.0229982689972057,35.057259
"84","02040204",0.00146928089040401,4.124105
"85","02040205",0.111715233846089,24.833169
"86","02040206",0.308156033931064,20.081365
"87","02040207",0.233339718552556,23.241092
"88","02040301",0.223020691337538,6.616126
"89","02040302",0.254091927929973,9.516692
"90","02040303",0.211115273932285,11.141696
"91","02040304",0.32246357085268,2.11769
"92","02050101",0.0604244095963743,10.414124
"93","02050102",0.047756032064762,12.850821
"94","02050103",0.045468577158679,9.428463
"95","02050104",0.0265754243771349,13.804357
"96","02050105",0.0433024236163408,9.254635
"97","02050106",0.0421056155211353,11.757176
"98","02050107",0.0318308291231744,8.840713
"99","02050201",0.0200494295248561,4.992106
"100","02050202",0.0151517289670494,4.290676
"101","02050203",0.018467371913017,5.671552
"102","02050204",0.0135023796638237,16.479271
"103","02050205",0.0169139440065263,6.823597
"104","02050206",0.0245496973152382,16.960179
"105","02050301",0.0313034361249809,21.176428
"106","02050302",0.0123634920649648,27.699969
"107","02050303",0.012666351149485,13.969848
"108","02050304",0.0197246940617238,25.726592
"109","02050305",0.0290075975713169,37.787394
"110","02050306",0.0276652674918628,67.796461
"111","02060001",0.000784362702270924,2.437933
"112","02060002",0.119904845120361,22.863916
"113","02060003",0.0363330429181261,7.89279
"114","02060004",0.0628664381469336,2.484596
"115","02060005",0.17590341824106,15.432601
"116","02060006",0.0623576365948485,16.223105
"117","02070001",0.0199456794641582,6.033512
"118","02070002",0.0271875025924286,3.831607
"119","02070003",0.0277336944112481,6.225937
"120","02070004",0.0340825371307934,24.261534
"121","02070005",0.0184888815247968,23.383925
