ID_label,State/Country,Lat,Long,Time of study,Air temp (oC),Prec. (mm/yr),Climate Zone,Q,HLR (m/yr),Water regime,TN in (mg/l),TP in (mg/l),ID_label2,Wetland type,Inflow type,Area (m2),HRT_est,Age (yr),Wetland history,Vegetation type,ID_label3,TN loading rate (g/m2/yr),std,TN removal rate (g/m2/yr),std4,TN removal efficieny (%),std5,n,TP loading rate (g/m2/yr),std6,TP removal rate (g/m2/yr),std7,TP removal efficieny (%),std8,n9,K_TN,K_TN_HRT
Chavan et al. (2008) train 4,"Nevada, USA",39.51864,-119.70436,2002-2003,9.704166667,200,Csb,8.580123207,0.529637235,"continuous, variable",1.704341391,#N/A,Chavan et al. (2008) train 4,Free Water Surface,Tert. Domestic Wastewater,16.2,3.009331372,1,Constructed,Emergent,Chavan et al. (2008) train 4,408.7444872,#N/A,129.625,#N/A,31.71296593,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.79636759,#N/A
Koskiaho et al. (2003) Flytträsk,Finland,60.133333,24.083333,1998-2000,5,622,Dfb,,0.575605749,Precipitation-driven,3.1,0.067,Koskiaho et al. (2003) Flytträsk,Free Water Surface,Agricultural runoff,60000,23.4762687,10,"Restored, formerly other land use",Emergent,Koskiaho et al. (2003) Flytträsk,52.98026973,1.442116377,4.20782967,2.13239317,8,4.242640687,2,1.099358974,0.241530064,0.160260989,0.042795501,14.5,0.707106781,2,4.604845992,0.617645001
Li et al. (2008) FWS,China,31.5355,120.2064,one year,15.5625,1028,Cfa,19.18685832,0.639561944,constant,4.82,0.152,Li et al. (2008) FWS,Free Water Surface,River/Lake water,30,3.510520979,0,Constructed,Emergent,Li et al. (2008) FWS,1125.952,#N/A,198.56,#N/A,17.63485477,#N/A,1,35.5072,#N/A,11.4464,#N/A,32.23684211,#N/A,1,11.278582,9.182922507
Li et al. (2008) HSF,China,31.5355,120.2064,one year,15.5625,1028,Cfa,19.18685832,0.639561944,constant,4.82,0.152,Li et al. (2008) HSF,Horizontal Subsurface Flow,River/Lake water,30,3.510520979,0,Constructed,Emergent,Li et al. (2008) HSF,1125.952,#N/A,591.008,#N/A,52.48962656,#N/A,1,35.5072,#N/A,23.36,#N/A,65.78947368,#N/A,1,33.5703676,18.74065817
Li et al. (2008) VSF,China,31.5355,120.2064,one year,15.5625,1028,Cfa,19.18685832,0.639561944,constant,4.82,0.152,Li et al. (2008) VSF,Vertical Subsurface Down,River/Lake water,30,3.510520979,0,Constructed,Emergent,Li et al. (2008) VSF,1125.952,#N/A,572.32,#N/A,50.82987552,#N/A,1,35.5072,#N/A,22.4256,#N/A,63.15789474,#N/A,1,32.508854,17.99103185
Braskerud (2002) G2,Norway,58.73544,5.68207,1996-1998,7.091666667,1388,Cfb,562.4147844,0.66954141,"continuous, variable",5.14,#N/A,Braskerud (2002) G2,Combined Horizontal,River/Lake water,840,8.075344906,2,Constructed,Emergent,Braskerud (2002) G2,1077,#N/A,159,#N/A,15,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.04312115,#N/A
Andersson et al. (2012) Tibble,Sweden,59.475343,17.738154,2008-2009,7.2,#N/A,Dfb,,0.753869616,Precipitation-driven,1.3,0.15,Andersson et al. (2012) Tibble,Free Water Surface,Urban storm water/runoff,5700,13.03346749,34,"Created, formerly other land use",Mixed,Andersson et al. (2012) Tibble,343.8596491,#N/A,163.1578947,#N/A,47,#N/A,1,41.75438596,#N/A,27.71929825,#N/A,66,#N/A,1,35.43187195,5.063886495
Yi et al. (2010) Stormwater wetland,South Korea,37.3049,127.4197,2006-2008,11.3,1303,Dwa,,0.779466119,Precipitation-driven,#N/A,#N/A,Yi et al. (2010) Stormwater wetland,Free Water Surface,agricultural (storm) runoff,2300,10.38779136,2,"Created, formerly other land use",Emergent,Yi et al. (2010) Stormwater wetland,198,#N/A,35,#N/A,17.67676768,#N/A,1,6.82,#N/A,3.91,#N/A,57.3313783,#N/A,1,13.7784415,5.519111458
Chang et al. (2004) West Lake Constructed Wetland,China,30.2365,120.1272,2000-2001,16.67916667,1386,Cfa,161.889117,0.999315537,"Intermittent, constant",6.810323654,0.309734513,Chang et al. (2004) West Lake Constructed Wetland,Vertical Subsurface Down,Agricultural+urban runoff,162,5.351432018,2,Constructed,Emergent,Chang et al. (2004) West Lake Constructed Wetland,2485.768134,#N/A,1169.515966,#N/A,47.04847368,#N/A,1,113.0530973,#N/A,89.71032448,#N/A,79.35238095,#N/A,1,47.01627074,14.82825171
Braskerud (2002) G1,Norway,58.73544,5.68207,1996-1998,7.091666667,1388,Cfb,565.4127311,1.229158111,"continuous, variable",5.14,#N/A,Braskerud (2002) G1,Combined Horizontal,River/Lake water,460,6.94673476,2,Constructed,Emergent,Braskerud (2002) G1,1983,#N/A,285,#N/A,14,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.20821355,#N/A
Braskerud (2002) F,Norway,63.57729,10.37979,1996-1999,4.925,943,Dfc,,1.628884326,"continuous, variable",1.6,#N/A,Braskerud (2002) F,Combined Horizontal,River/Lake water,870,8.146500194,2,Constructed,Unspecified,Braskerud (2002) F,830,#N/A,50,#N/A,6,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.773305956,#N/A
Braskerud (2002) A,Norway,59.915455,11.635403,1993-1999,4.441666667,803,Dfb,1528.952772,1.698836413,"continuous, variable",3.21,#N/A,Braskerud (2002) A,Combined Horizontal,River/Lake water,900,8.215838363,2,Constructed,Emergent,Braskerud (2002) A,1707,#N/A,56,#N/A,3,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.096509239,#N/A
Tonderski et al. (2005) Slogstorp,Sweden,55.7488,13.452,1998-2002,7.854166667,662,Cfb,,1.798767967,Precipitation-driven,#N/A,0.07,Tonderski et al. (2005) Slogstorp,Free Water Surface,Agricultural runoff,6500,13.4685114,1,Constructed,Submerged,Tonderski et al. (2005) Slogstorp,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.22809458,#N/A,4.923504868,#N/A,11.13207547,#N/A,1,#N/A,0.826526046
Braskerud (2002) C,Norway,59.878283,11.219953,1993-1999,4.733333333,818,Dfb,624.0225874,1.808761123,"continuous, variable",3.49,#N/A,Braskerud (2002) C,Combined Horizontal,River/Lake water,345,6.464665123,2,Constructed,Emergent,Braskerud (2002) C,2267,#N/A,93,#N/A,4,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.235044492,#N/A
Braskerud et al. (2005) Berg,Norway,59.915455,11.635403,1998-2001,4.441666667,803,Dfb,,3.695988089,Precipitation-driven,#N/A,0.205086244,Braskerud et al. (2005) Berg,Free Water Surface,Agricultural runoff,900,8.215838363,8,"Created, formerly cropland",Emergent,Braskerud et al. (2005) Berg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,306.939579,144.4829441,133.0121972,89.81619986,40.00171367,11.53929852,3,#N/A,4.868853537
Bass & Evans (2004) Liza's bottom,"North Carolina, USA",36.062481,-76.61521,1997-1999,15.6375,1240,Cfa,,#N/A,Precipitation-driven,2.7,0.37,Bass & Evans (2004) Liza's bottom,Free Water Surface,Agricultural+urban runoff,10000,15,0,"Created, formerly other land use",Emergent,Bass & Evans (2004) Liza's bottom,174.3716861,#N/A,31.08112407,#N/A,17.82,#N/A,1,26.5911983,#N/A,-12.69565217,#N/A,-48,#N/A,1,#N/A,-3.2
Bratli et al. (1999) Lake Borrevannet,Norway,59.39625,10.44257,1994-1996,6.925,729,Cfb,#N/A,#N/A,"continuous, variable",#N/A,#N/A,Bratli et al. (1999) Lake Borrevannet,Free Water Surface,Agricultural runoff,250000,33.54101966,0,"Created, formerly other land use",Mixed,Bratli et al. (1999) Lake Borrevannet,640.1008189,111.4956645,260.42234,4.840310267,41.67434627,8.529191174,3,21.56167584,4.098806663,13.04322231,0.223860938,62.01948296,12.06701618,3,#N/A,1.849063731
Hoffmann et al. (2011) Karlsmosen,Denmark,55.16,10.489,2003,7.9125,632,Cfb,,#N/A,Precipitation-driven,#N/A,#N/A,Hoffmann et al. (2011) Karlsmosen,Free Water Surface,Agricultural runoff,650000,42.59117272,1,"Restored, formerly other land use",Unspecified,Hoffmann et al. (2011) Karlsmosen,66.80307692,#N/A,33.69538462,#N/A,50,#N/A,1,1.353846154,#N/A,0.813846154,#N/A,60,#N/A,1,#N/A,1.408742614
Hoffmann et al. (2011) Lyngbygaards,Denmark,56.114,9.956,2007,7.295833333,665,Cfb,,#N/A,Precipitation-driven,#N/A,#N/A,Hoffmann et al. (2011) Lyngbygaards,Free Water Surface,River/Lake water,1800000,54.94262252,0,"Restored, formerly drained cropland",Unspecified,Hoffmann et al. (2011) Lyngbygaards,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.936111111,#N/A,-0.035222222,#N/A,-3.8,#N/A,1,#N/A,-0.069163062
