Long,Lat,dataset,TN
-70.918844000000007,41.681859,MEP,1.1145
-70.872888,41.640446,MEP,1.584
-70.870647,41.640767,MEP,1.109
-70.856715,41.636958,MEP,1.385
-70.849411,41.632585,MEP,1.02
-71.008317,41.544199,MEP,0.614
-71.006334,41.56912,MEP,1.502
-71.006734,41.5416,MEP,0.922
-70.990224,41.58557,MEP,0.927
-70.676352,41.762449,MEP,0.439
-70.721733,41.766467,MEP,0.425
-71.126612,41.553741,MEP,0.98
-71.104556,41.550479,MEP,1.588
-71.07101,41.596512,MEP,0.903
-71.074817,41.58494,MEP,1.158
-71.059327,41.62184,MEP,1.004943341708708
-70.061295,41.669714,MEP,0.961
-70.057882,41.671203,MEP,0.987
-70.086065,41.668484,MEP,0.938
-70.384253,41.714883,MEP,0.857
-70.379438,41.711745,MEP,0.685
-70.36325932,41.70244545,MEP,0.648
-70.20151,41.733119,MEP,1.058
-70.288283,41.703134,MEP,2.114
-70.223879,41.705088,MEP,0.959
-70.154567,41.670598,MEP,0.955
-70.213453,41.70069,MEP,1.181
-70.193727,41.705451,MEP,1.041
-70.362306,41.648377,MEP,2.978
-70.335589,41.637222,MEP,1.47
-70.33525525,41.65170218,MEP,0.53
-70.371382,41.645515,MEP,1.495
-69.984561,41.706483,MEP,0.851
-69.970673,41.702013,MEP,0.732
-70.602027,41.557309,MEP,0.777
-70.626459,41.648848,MEP,0.895
-70.627569,41.646453,MEP,0.875
-70.563246,41.578791,MEP,0.528
-70.55128,41.576468,MEP,0.874
-70.573375,41.578178,MEP,0.851
-70.122065,41.68197,MEP,0.651
-70.098908,41.680925,MEP,0.606
-70.508739,41.590546,MEP,0.497
-70.251581,41.652992,MEP,1.035
-70.30766,41.638792,MEP,1.348
-70.272014,41.647996,MEP,1.167
-70.260958,41.657379,MEP,1.01
-70.279514,41.642705,MEP,1.899
-70.293032,41.635463,MEP,2.072
-70.592263,41.560109,MEP,2.988
-70.615392,41.659699,MEP,0.699
-69.991681,41.79719,MEP,0.86
-70.011355,41.781234,MEP,0.837
-70.010195,41.790525,MEP,1.013
-69.967575,41.816839,MEP,1.306
-70.642002,41.546347,MEP,1.182
-70.208777,41.662197,MEP,1.258
-70.223601,41.655168,MEP,0.966
-70.602171,41.726801,MEP,0.749
-69.977752,41.768813,MEP,0.796
-69.970213,41.756401,MEP,1.618
-69.984372,41.706196,MEP,0.851
-69.984928,41.70088,MEP,0.732
-69.991744,41.73358,MEP,0.687
-70.624295,41.94313,MEP,0.642
-70.724075,41.98991,MEP,1.041
-70.66321,41.954881,MEP,1.354
-70.480654,41.624684,MEP,0.593
-70.451724,41.627395,MEP,1.184
-70.500181,41.758167,MEP,0.336
-70.472085,41.748438,MEP,0.461
-70.440367,41.74934,MEP,0.68
-70.40601113,41.7301677,MEP,0.627
-70.130337,41.685337,MEP,0.635
-70.428474,41.626419,MEP,1.137
-70.416578,41.656117,MEP,0.799
-70.52713,41.585572,MEP,0.258
-69.988127,41.890671,MEP,0.561
-69.993934,41.876602,MEP,2.613
