Long,Lat,dataset,NO3,TN
-71.3434294,41.90125767,WPP,0.6980000000000001,0.972
-71.32945548,41.85773302,WPP,0.2066666666666667,0.8266666666666667
-72.35718789,42.58708857,WPP,0.02946153846153846,0.17142857142857143
-70.91495236,41.9074391,WPP,0.1348,0.42
-70.92351752,41.92174924,WPP,0.18625,0.5275
-71.3973783,42.45888846,WPP,0.265,0.78
-71.06038287,41.63266048,WPP,0.97,1.55875
-71.1903328,42.36514506,WPP,0.45,1
-71.22270212,42.24980728,WPP,0.18,0.488
-71.23970713,42.25123356,WPP,0.068,0.54
-71.29384261,42.28652324,WPP,1.1,1.5
-71.3896734,42.14007115,WPP,1.78,2.38
-71.36280624,42.18829134,WPP,0.2,0.785
-72.60763627,42.15037455,WPP,0.18,0.54
-71.76875735,42.5630966,WPP,0.296,0.984
-71.67930013,42.42997432,WPP,0.1,0.32
-71.67186298,42.44442786,WPP,1.184,1.45
-71.62643687,42.49602094,WPP,1.132,1.632
-71.56776529,42.66968673,WPP,0.69875,1.0645833333333334
-71.64380951,42.62094186,WPP,0.306,0.5493333333333333
-71.60976926,42.57812405,WPP,0.778,1.192
-72.00491606,42.26477944,WPP,0.10466666666666669,0.34933333333333333
-72.26354268,42.18142994,WPP,0.1476086956521739,0.49
-72.33276108,42.26797538,WPP,0.02288888888888889,0.13464444444444446
-72.0645552,42.39121389,WPP,0.03804347826086957,0.3467391304347826
-71.59314962,42.62647657,WPP,0.8595652173913043,1.2333333333333334
-71.796679459999993,42.2365576,WPP,0.28200000000000003,0.69
-71.65266243,42.1542015,WPP,2.7,4.05
-71.60111703,42.1003609,WPP,0.24767441860465117,0.6142857142857143
-71.9543561,42.02202663,WPP,0.3282926829268293,0.6173170731707317
-72.11856925,42.10956147,WPP,0.05977272727272727,0.3054545454545455
-71.88507359,42.05094532,WPP,0.25047619047619046,0.5519047619047619
-72.00870444,42.11947322,WPP,1.8255813953488371,2.2276744186046513
-71.3017484,42.63670884,WPP,0.8941176470588235,1.38125
-71.67198789,42.44473811,WPP,1.4127272727272728,1.7272727272727273
-71.57206082,42.02298331,WPP,1.3166666666666669,2.0744444444444445
-71.70809238,42.23053792,WPP,0.18555555555555556,0.5322727272727272
-72.43783955,42.59751119,WPP,0.32222222222222224,0.6828888888888889
-72.15035652,42.62969793,WPP,0.42209302325581394,0.8640476190476191
-72.11503734,42.68279648,WPP,0.0258695652173913,0.37066666666666664
-72.09305542,42.6723218,WPP,0.17902439024390243,0.56325
-71.62845076,42.30485304,WPP,4.79,5.427272727272727
-71.39736431,42.32543468,WPP,0.2989583333333333,0.626938775510204
-71.44974106,42.43206352,WPP,1.2530555555555556,1.8271428571428572
-71.40458554,42.51227518,WPP,0.595,1.3261363636363637
-71.65203977,42.153873,WPP,1.562093023255814,2.802380952380952
-72.7336661,42.11664658,WPP,0.718,0.856
-71.02717559,41.81989559,WPP,0.04,0.6920000000000001
-71.15426672,41.93332037,WPP,0.424,1.72375
-71.45547229,42.25849843,WPP,0.3,0.6725
-71.39143422,42.46568803,WPP,1.75,1.95
-71.35935869,42.45974876,WPP,0.08499999999999999,0.74
-71.36467086,42.39635089,WPP,0.205,0.745
-71.40313662,42.35708626,WPP,0.44,0.965
-71.36883338,42.35926526,WPP,0.215,0.725
-71.1769499,41.9471012,WPP,0.177,0.5322222222222223
-70.89995609,42.05820916,WPP,0.139,0.666
-70.89846196,42.04238758,WPP,0.13014285714285714,0.6157142857142857
-71.29133543,41.95002381,WPP,0.248,0.576
-71.33840362,42.00286304,WPP,0.5966666666666667,0.7333333333333334
-70.78863391,42.16028331,WPP,0.2,0.77
-71.62097756,42.55197544,WPP,1.7,2.3499999999999996
-71.73011265,42.18086003,WPP,1.144,4.42
-71.5384768,42.01664829,WPP,1.386,2.4
-72.5503928,42.38639934,WPP,0.6849999999999999,0.8688888888888889
-72.57858317,42.33278638,WPP,0.2975,0.4877777777777778
-72.42726497,42.28189876,WPP,0.64,2.168888888888889
-72.60488814,42.36655405,WPP,0.405,0.6633333333333333
-72.61893594,42.47836238,WPP,0.5875,0.9877777777777778
-72.64060074,42.28349688,WPP,0.4525,0.9044444444444444
-71.35867289,42.13828143,WPP,2.26,3.02
-71.35172497,42.21006156,WPP,1.522,2.3
-71.32538186,42.26439957,WPP,0.924,1.56
-71.25439259,42.32584268,WPP,0.314,0.8280000000000001
-71.26256067,42.25781415,WPP,0.65,1.21
-71.47958751,42.09620732,WPP,0.808,1.19
-71.19710167,42.39554541,WPP,0.72,1.27
-71.2078492,42.38300416,WPP,0.504,1.12
-71.43065489,42.12453197,WPP,0.06999999999999999,0.6
-71.30503034,42.12911182,WPP,0.122,0.796
-71.30280984,42.15866554,WPP,0.548,1.04
-71.24624794,42.31931329,WPP,0.97,1.56
-71.27033164,42.36795531,WPP,0.29400000000000004,0.622
-71.78210772,42.20864325,WPP,0.366,0.892
-71.70488014,42.18223431,WPP,1.686,4.3
-71.68788468,42.17728889,WPP,1.428,3.1999999999999997
-71.68057473,42.17384662,WPP,1.478,3.18
-71.63645321,42.12965013,WPP,1.632,3.4
-71.61966359,42.07985489,WPP,1.7120000000000002,3.22
-71.78097604,42.20640574,WPP,1.57,5.88
-71.78074977,42.20595608,WPP,0.4,2.2
-72.7542118,42.4841721,WPP,0.07815384615384616,0.22833333333333333
