Long,Lat,dataset,NO3
-70.91495236,41.9074391,WPP,0.1348
-70.92351752,41.92174924,WPP,0.18625
-71.3973783,42.45888846,WPP,0.265
-71.06038287,41.63266048,WPP,0.97
-71.1903328,42.36514506,WPP,0.45
-71.22270212,42.24980728,WPP,0.18
-71.23970713,42.25123356,WPP,0.068
-71.29384261,42.28652324,WPP,1.1
-71.3896734,42.14007115,WPP,1.78
-71.36280624,42.18829134,WPP,0.2
-72.60763627,42.15037455,WPP,0.18
-71.76875735,42.5630966,WPP,0.296
-71.67930013,42.42997432,WPP,0.1
-71.67186298,42.44442786,WPP,1.184
-71.62643687,42.49602094,WPP,1.132
-71.56776529,42.66968673,WPP,0.69875
-71.64380951,42.62094186,WPP,0.306
-71.60976926,42.57812405,WPP,0.778
-72.00491606,42.26477944,WPP,0.10466666666666669
-72.26354268,42.18142994,WPP,0.1476086956521739
-72.33276108,42.26797538,WPP,0.02288888888888889
-72.0645552,42.39121389,WPP,0.03804347826086957
-71.59314962,42.62647657,WPP,0.8595652173913043
-71.796679459999993,42.2365576,WPP,0.28200000000000003
-71.65266243,42.1542015,WPP,2.7
-71.60111703,42.1003609,WPP,0.24767441860465117
-71.9543561,42.02202663,WPP,0.3282926829268293
-72.11856925,42.10956147,WPP,0.05977272727272727
-71.88507359,42.05094532,WPP,0.25047619047619046
-72.00870444,42.11947322,WPP,1.8255813953488371
-71.3017484,42.63670884,WPP,0.8941176470588235
-71.67198789,42.44473811,WPP,1.4127272727272728
-71.57206082,42.02298331,WPP,1.3166666666666669
-71.70809238,42.23053792,WPP,0.18555555555555556
-72.43783955,42.59751119,WPP,0.32222222222222224
-72.15035652,42.62969793,WPP,0.42209302325581394
-72.11503734,42.68279648,WPP,0.0258695652173913
-72.09305542,42.6723218,WPP,0.17902439024390243
-71.62845076,42.30485304,WPP,4.79
-71.39736431,42.32543468,WPP,0.2989583333333333
-71.44974106,42.43206352,WPP,1.2530555555555556
-71.40458554,42.51227518,WPP,0.595
-71.65203977,42.153873,WPP,1.562093023255814
-72.7336661,42.11664658,WPP,0.718
-71.02717559,41.81989559,WPP,0.04
-71.15426672,41.93332037,WPP,0.424
-71.45547229,42.25849843,WPP,0.3
-71.39143422,42.46568803,WPP,1.75
-71.35935869,42.45974876,WPP,0.08499999999999999
-71.36467086,42.39635089,WPP,0.205
-71.40313662,42.35708626,WPP,0.44
-71.36883338,42.35926526,WPP,0.215
-71.1769499,41.9471012,WPP,0.177
