dataset,Lat,Long,NO3,TN
MEP,41.685337000000004,-70.130337,0.218,0.635
MEP,41.705451000000004,-70.193727,0.106,1.041
MEP,41.705088,-70.223879,0.542,0.9595
MEP,41.63431200000001,-70.63265,0.32,0.761
MEP,41.326806999999995,-70.797453,0.013,0.638
MEP,41.448448,-70.62234,0.122,0.791
MEP,41.429469,-70.599982,0.157,0.765
MEP,41.346272,-70.719522,0.082,0.677
MEP,41.346272,-70.719522,0.085,0.448
MEP,41.339199,-70.735089,0.093,0.572
MEP,41.382723999999996,-70.67199,0.048,0.491
MEP,41.345668999999994,-70.760293,0.078,0.685
MEP,41.377733,-70.677676,0.047,0.45
MEP,41.352458999999996,-70.762214,0.277,0.775
PSW,41.57150281,-70.61268627,0.11,NA
PSW,41.57593509,-70.47616256,0.57,NA
PSW,41.57593155,-70.47470981,0.47,NA
PSW,41.59176667,-70.59411655,0.48,NA
PSW,41.59634963,-70.53405221,0.53,NA
PSW,41.60144853,-70.51500426,0.65,NA
PSW,41.60238895,-70.51216684,0.66,NA
PSW,41.61828898,-70.57363578,0.61,NA
PSW,41.61957064,-70.5034785,1.09,NA
PSW,41.62263797,-70.43692099,0.84,NA
PSW,41.62648509,-70.46621644,1.64,NA
PSW,41.63198445,-70.49295317,0.49,NA
PSW,41.63292634,-70.46830985,1.06,NA
PSW,41.63269799,-70.4405442,1.4,NA
PSW,41.63451244,-70.43964925,1.6,NA
PSW,41.63633174,-70.45930893,3.1,NA
PSW,41.63579694,-70.39055116,1.8,NA
PSW,41.63649437,-70.43722451,0.94,NA
PSW,41.63893214,-70.39373052,1.9,NA
PSW,41.63912597,-70.30843348,4.266666666666667,NA
PSW,41.64069843,-70.30709805,3.5,NA
PSW,41.6416124,-70.38759532,2.8,NA
PSW,41.64454962,-70.3224976,1.8,NA
PSW,41.64465744,-70.30950313,0.11,NA
PSW,41.64516266,-70.32148206,2.6,NA
PSW,41.64684369,-70.32153888,2.6,NA
PSW,41.65198374,-70.42273536,0.4,NA
PSW,41.65222321,-70.43231516,0.11,NA
PSW,41.65354844,-70.4342256,0.11,NA
PSW,41.65361198,-70.42198046,0.25,NA
PSW,41.65354968,-70.37056519,3.966666666666667,NA
PSW,41.6546508,-70.42697511,1,NA
PSW,41.65423749,-70.37165347,4.2,NA
PSW,41.65493836,-70.43055785,0.77,NA
PSW,41.65708284,-70.42695044,1.7,NA
PSW,41.66159786,-70.60383256,0.2,NA
PSW,41.66342933,-70.6040114,0.18,NA
PSW,41.66241327,-70.46008341,2.1,NA
PSW,41.66066746,-70.2716294,0.53,NA
PSW,41.66611671,-70.53001112,0,NA
PSW,41.66683795,-70.38088666,3,NA
PSW,41.66727646,-70.38198602,3.6,NA
PSW,41.66621087,-70.2430432,0.29,NA
PSW,41.66670623,-70.24754347,0.17,NA
PSW,41.67029913,-70.2380818,1.5,NA
PSW,41.67118467,-70.27784793,0.22,NA
PSW,41.67122267,-70.20335374,3.9,NA
PSW,41.67309797,-70.23829679,0.68,NA
PSW,41.67506391,-70.27999866,0,NA
PSW,41.67501852,-70.25200008,0.4,NA
PSW,41.67812473,-70.52414472,0.12,NA
PSW,41.67599486,-70.27890786,0.31,NA
PSW,41.67605174,-70.21888557,3.433333333333334,NA
PSW,41.67753998,-70.28092954,0.25,NA
PSW,41.67863412,-70.2538764,0.48,NA
PSW,41.67824728,-70.21749786,2.066666666666666,NA
PSW,41.67941608,-70.28091066,0.5,NA
PSW,41.67978409,-70.2895497,0.66,NA
PSW,41.6804979,-70.246946,0.45,NA
PSW,41.68044275,-70.03027345,0.19,NA
PSW,41.68046187,-70.0300981,0.23,NA
PSW,41.68389514,-70.31856547,1.1,NA
PSW,41.68074439,-70.03009798,0.19,NA
PSW,41.68346682,-70.25440007,0.986666666666667,NA
PSW,41.6818284,-70.05124975,0.59,NA
PSW,41.68456964,-70.25294089,0.39,NA
PSW,41.68239532,-70.05117571,0.64,NA
PSW,41.68300426,-70.0511743,0.51,NA
PSW,41.68753587,-70.46166204,0.64,NA
PSW,41.68276382,-70.02875499,0,NA
PSW,41.68447493,-70.05060567,1.2,NA
PSW,41.68611528,-70.1818697,1.4,NA
PSW,41.68919503,-70.41895356,0.58,NA
PSW,41.68518427,-70.03240218,0.26,NA
PSW,41.68988047,-70.44606839,0.13,NA
PSW,41.68548156,-70.03507643,1.5,NA
PSW,41.6860084,-70.05001833,0.72,NA
PSW,41.69035551,-70.41641613,0,NA
PSW,41.68798104,-70.18358134,0.9,NA
PSW,41.6861675,-70.03462975,0.5,NA
PSW,41.68752664,-70.05084244,0.75,NA
PSW,41.68761435,-70.05088025,0.7,NA
PSW,41.68743289,-70.02845383,0.35,NA
PSW,41.6913894,-70.30743307,0.57,NA
PSW,41.69062992,-70.02560809,0,NA
PSW,41.69593226,-70.46264894,2.24,NA
PSW,41.69158697,-69.99421372,2.3,NA
PSW,41.69561706,-70.19257515,1.8,NA
PSW,41.69682673,-70.15984331,1.27,NA
PSW,41.70057685,-70.46854407,0.61,NA
PSW,41.70212185,-70.60073082,0.24,NA
PSW,41.70134465,-70.4713634,3.9,NA
PSW,41.70030619,-70.22396089,1.9,NA
PSW,41.69760658,-69.98808842,0.42,NA
PSW,41.69776584,-69.98846801,0.41,NA
PSW,41.70363635,-70.473373230000007,1.83,NA
PSW,41.70491629,-70.60671073,0.26,NA
PSW,41.70585692,-70.59633771,0.36,NA
PSW,41.70180475,-70.15537133,2.42,NA
PSW,41.7088909,-70.59756738,0.56,NA
PSW,41.70476282,-70.14967059,2.9,NA
PSW,41.70650402,-70.13724608,0.11,NA
PSW,41.70686943,-70.14006038,0.08,NA
PSW,41.70811961,-70.14917495,0.85,NA
PSW,41.70865006,-70.14867932,1,NA
PSW,41.70890259,-70.14871304,0.16,NA
PSW,41.7109672,-70.19612123,3.9,NA
PSW,41.71023311,-70.10970037,0,NA
PSW,41.70993938,-70.00568784,2.4,NA
PSW,41.71168612,-70.1394031,0,NA
PSW,41.71017229,-70.00726757,2.2,NA
PSW,41.71389912,-70.14233488,0.04,NA
PSW,41.71489317,-70.15086788,1.5,NA
PSW,41.71548912,-70.16725161,0.71,NA
PSW,41.71761057,-70.15870022,0.22,NA
PSW,41.72110688,-70.49229123,0.12,NA
PSW,41.71787062,-70.16809806,0.14,NA
PSW,41.71791856,-70.16935787,0.8,NA
PSW,41.71841116,-70.1694201,0.31,NA
PSW,41.71987156,-70.18501261,0.2,NA
PSW,41.71885408,-70.01522489,1.9,NA
PSW,41.72084028,-70.15082984,1,NA
PSW,41.72121508,-70.14964217,2.07,NA
PSW,41.72502871,-70.4313743,0.32,NA
PSW,41.72251434,-70.18305918,0.53,NA
PSW,41.72785138,-70.16634276,2.12,NA
PSW,41.73338587,-70.50723688,0.04,NA
PSW,41.72961173,-70.10785196,0.25,NA
PSW,41.7363766,-70.51205225,0.12,NA
PSW,41.73508785,-70.02759541,0.14,NA
PSW,41.73749573,-70.03044333,0.23,NA
PSW,41.7442788,-70.47136859,1.94,NA
PSW,41.74538044,-70.47071851,1.68,NA
PSW,41.74544531,-70.47067276,2.19,NA
PSW,41.74381616,-70.01889989,0.25,NA
PSW,41.74779607,-69.98153029,0,NA
PSW,41.75925372,-70.59700077,0.8,NA
PSW,41.76489762,-69.98851839,0,NA
PSW,41.76609357,-69.9912347,0.25,NA
PSW,41.77320887,-70.59043117,0.13,NA
PSW,41.7743858,-70.58259639,0.89,NA
PSW,41.77627031,-70.57846491,1.04,NA
PSW,41.78627801,-70.55996707,0.2,NA
PSW,41.78831625,-70.55502206,0.04,NA
PSW,41.79402509,-70.52384478,2.3,NA
PSW,41.8786275,-69.99477132,2.7,NA
PSW,41.87906699,-69.99399958,3.6,NA
