dataset,Lat,Long,NO3
DWMWPP,41.63266048,-71.06038287,0.97
DWMWPP,42.36514506,-71.1903328,0.44
DWMWPP,42.24980728,-71.22270212,0.18
DWMWPP,42.25123356,-71.23970713,0.068
DWMWPP,42.25417326,-71.29337351,0.542
DWMWPP,42.28652324,-71.29384261,1.1
DWMWPP,42.14007115,-71.3896734,1.78
DWMWPP,42.21553968,-71.40765942,0.395
DWMWPP,42.18829134,-71.36280624,0.2
DWMWPP,42.15037455,-72.60763627,0.18
DWMWPP,42.5630966,-71.76875735,0.296
DWMWPP,42.4951686,-71.72192464,1.824375
DWMWPP,42.42997432,-71.67930013,0.238
DWMWPP,42.44442786,-71.67186298,1.184
DWMWPP,42.49602094,-71.62643687,1.132
DWMWPP,42.66968673,-71.56776529,0.69875
DWMWPP,42.62094186,-71.64380951,0.306
DWMWPP,42.57812405,-71.60976926,0.778
DWMWPP,42.26477944,-72.00491606,0.10466666666666669
DWMWPP,42.18142994,-72.26354268,0.1476086956521739
DWMWPP,42.23872578,-72.285755,0.23260869565217393
DWMWPP,42.26797538,-72.33276108,0.02288888888888889
DWMWPP,42.39121389,-72.0645552,0.03804347826086957
DWMWPP,42.62647657,-71.59314962,0.8595652173913043
DWMWPP,42.59474285,-71.59983315,1.19
DWMWPP,42.2365576,-71.796679459999993,0.28200000000000003
DWMWPP,42.20292186,-71.77806924,1.202
DWMWPP,42.1542015,-71.65266243,2.7
DWMWPP,42.1003609,-71.60111703,0.24767441860465117
DWMWPP,42.02202663,-71.9543561,0.33404761904761904
DWMWPP,42.10956147,-72.11856925,0.05977272727272727
DWMWPP,42.05094532,-71.88507359,0.2786046511627907
DWMWPP,42.11947322,-72.00870444,1.8255813953488371
DWMWPP,42.63670884,-71.3017484,0.8941176470588235
DWMWPP,42.22778189,-71.78735524,0.44608695652173913
DWMWPP,42.44473811,-71.67198789,1.4127272727272728
DWMWPP,42.02298331,-71.57206082,1.3166666666666669
DWMWPP,42.23053792,-71.70809238,0.18555555555555556
DWMWPP,42.59751119,-72.43783955,0.32222222222222224
DWMWPP,42.58812535,-72.04099473,2.187173913043478
