dataset,Lat,Long,NO3
DWMWPP,42.08930109,-73.47506697,0.1815
DWMWPP,41.94672655,-71.20083966,0.1498
DWMWPP,42.62069634,-72.39305406,0.08
DWMWPP,42.38033448,-72.46510155,0.2325
DWMWPP,42.44704256,-72.49190917,0.145
DWMWPP,42.45007437,-72.45260735,0.2915
DWMWPP,42.46777728,-72.15673762,0.0515
DWMWPP,42.43953233,-72.04115765,0.0675
DWMWPP,42.20154773,-72.04487072,0.04
DWMWPP,42.05048837,-72.09627321,0.0485
DWMWPP,42.01542185,-71.79841192,0.0415
DWMWPP,42.07493076,-71.7950707,0.04725
DWMWPP,42.04529263,-71.65201157,0.0845
DWMWPP,42.18795491,-71.62720825,0.22
DWMWPP,42.51804,-72.998461,0.06275
DWMWPP,42.44139459,-72.99462504,0.08175
DWMWPP,42.33220916,-73.1068034,0.06974999999999999
DWMWPP,41.95851534,-71.2424628,0.405
DWMWPP,41.77800443,-71.07593377,0.07975
DWMWPP,42.18764862,-70.76850844,0.14500000000000002
DWMWPP,42.19862254,-70.83275,0.11
