id,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_GT5_COVERNAME_Impervious,beta_LE5_USEGENNAME_Commercial,beta_NaturalCover,se_Intercept,se_GT5_COVERNAME_Impervious,se_LE5_USEGENNAME_Commercial,se_NaturalCover,t_Intercept,t_GT5_COVERNAME_Impervious,t_LE5_USEGENNAME_Commercial,t_NaturalCover,p_Intercept,p_GT5_COVERNAME_Impervious,p_LE5_USEGENNAME_Commercial,p_NaturalCover,sumW
40.0,-69.977752,41.768813,-0.5983327156204121,-0.28888517921825047,-0.35693048296523044,-0.24140223265518168,0.4184139792046911,0.06292232526963973,0.0007973770357697651,0.046735905544587904,0.08313285617109935,0.6872604245026517,-0.19382858710250647,0.1286088989272291,0.13582131340102227,0.20843307506367895,0.1487772667047056,0.36339558097789587,0.6120751897431853,3.297271434932699,-1.3028105126250178,0.7175259726927794,0.5426908185148451,0.0016073417851474219,0.19738153147326257,30.47688240189118
41.0,-69.970213,41.756401000000004,-0.5961805485313089,-0.13908416070681462,-0.47536314041686095,-0.12081740811444791,0.4154916621630783,0.1012385249504591,0.0003493361418412033,0.04721057894666039,0.08295928287172534,0.6816477631995724,-0.19435931153268549,0.128939343347007,0.13581956995143746,0.2082555110211222,0.14890681673884712,0.36614564430970686,0.6108050769221813,3.2731319322946355,-1.3052411957308374,0.715483112903644,0.5435260977695764,0.0017291064195189226,0.1965577691485941,30.349752926682047
42.0,-69.984372,41.706196000000006,-0.4412245181158701,-0.12566672271296803,-0.3183284766404626,-0.1228960414754075,0.38801622988082296,0.05807666140203595,0.00018878778615103055,0.05737690100548509,0.09204708333086607,0.6342509362464923,-0.1952727625310068,0.12859641607724348,0.1341262664141916,0.20650512335861956,0.14701222732809946,0.4461780721091072,0.686271867485061,3.071356903552672,-1.328275654889578,0.6569984116675437,0.49505976371789473,0.0031443684961661826,0.188878974497986,30.550643956830893
43.0,-69.984928,41.70088,-0.733919242233921,-0.4610831927918343,-0.2960309293112741,-0.4378883129226469,0.38514062499772356,0.05584860266409708,0.0022939466719744173,0.05833043565605013,0.09327711117592252,0.6286261415603461,-0.19524271030595533,0.12854857840511302,0.13392673303585018,0.20623433561028165,0.14673372638887364,0.4537618103579902,0.6964786571098814,3.048115822712726,-1.330591917147413,0.6515595683992821,0.4886909423609054,0.0033636996944801747,0.18811952909811439,30.503795984211767
44.0,-69.991744,41.733579999999996,-0.249681647185675,-0.07055532572477302,-0.06638080002134207,-0.18330084716433293,0.3987889415201124,0.09495162012907532,0.0007437300190347383,0.054503698111209795,0.08874652341695095,0.6555803080830298,-0.19482511913920578,0.12837308194104882,0.13469079649481489,0.20737902019378124,0.14770701347715476,0.4245726384931605,0.6588907759586037,3.161266301048369,-1.3189970777476898,0.6725947150535618,0.5123669973944099,0.0024155069729281022,0.19194440936751853,30.939791419758173
45.0,-70.480654,41.624684,-0.3228553282151878,-0.12282210761853607,-0.06363691418585969,-0.2592184140293281,0.3546400977713151,0.045819349879772625,0.0006457240897184767,0.11267378473665109,0.32821590754874463,0.31840488248595256,-0.05360564616398826,0.12361780833980376,0.12834143842534265,0.11978806640660591,0.12295498997474118,0.911468875317143,2.5573650379465764,2.658068470737028,-0.43597780110429474,0.3655229077141091,0.012966530632258331,0.00994893687003908,0.6643431537878335,35.025048690860196
46.0,-70.451724,41.627395,0.5035768340004855,0.6144515633839888,0.07093566562537529,0.4326411683751102,0.338437040534459,0.037894793265749876,0.0014632471125628913,0.129014551069518,0.33287873861566986,0.31016237940891533,-0.051982771560537794,0.12399973717762945,0.1282548960295089,0.11959501694587095,0.12343736387373598,1.0404421332337572,2.595446637289239,2.593438985416054,-0.42112671503347193,0.3021110824258949,0.01173936731989557,0.011801332525931869,0.6750958402968432,34.786466721818705
47.0,-70.50018100000001,41.758167,-0.9534402853224592,-0.4235952989981886,-0.4871439432031108,-0.4662963421193484,0.3207143756510044,0.15801194687647663,0.009254003526150195,0.10973440917823885,0.3642377011752621,0.29841510444903274,-0.05699335574042122,0.1282205691055337,0.13001017612409527,0.12004047842645918,0.1260032675110815,0.8558253168251065,2.8016091665593597,2.485953974532448,-0.45231649040695604,0.3953377569262546,0.006746201045055085,0.01558511238404225,0.6525946595552551,28.699265363047076
48.0,-70.47208499999999,41.748438,-0.774810416926884,-0.5400430121103724,-0.22732243198624846,-0.5474879849406356,0.3073867717015196,0.061075566146512494,0.003965363301079248,0.12271682867014076,0.3678496374696674,0.2884715729402462,-0.05754799245841834,0.128048242953305,0.1297387510761105,0.1200410435875801,0.1259064330237226,0.9583640184339864,2.8353104559629263,2.403107839776333,-0.4570695164366658,0.34154276738898537,0.006146915896151264,0.01921295059305011,0.6491932853823661,29.39314083597068
49.0,-70.44036700000001,41.749340000000004,-0.7597452473031608,-0.5320124719274204,-0.04678157807850199,-0.7129636692246588,0.28406533060067396,0.052189874659547345,0.005639049980965098,0.13964190454930742,0.3787833263394101,0.2666725284501917,-0.05992505576305194,0.1293816849981802,0.130826636739065,0.12116638566301458,0.12720058413555246,1.0793019471903733,2.895307376088075,2.20087879151447,-0.47110676550975783,0.28456802003218,0.005199982404102786,0.03141722129438863,0.6391917673267858,28.47199401026604
50.0,-70.40708959999999,41.730245399999994,-0.6628977282935116,-0.6091981137440926,0.014682300700081165,-0.6775800289935927,0.26525256369510875,0.06277775828594068,0.00626569719613601,0.15646294178755898,0.3738759989216178,0.24764163064892467,-0.06245327477898026,0.12932746669041792,0.13140613296625342,0.12309461268611027,0.12777676803694943,1.2098198920272485,2.845194440183651,2.0117990970117248,-0.48876862154566736,0.23086812728065842,0.005980699211274411,0.04852253496806006,0.626702707743146,29.62602678851769
51.0,-70.130337,41.685337,-0.5380720371255194,-1.1197091075805952,0.6050524198326329,-1.1431244569581525,0.28889518221939,0.15623362891485273,0.05475763808402291,0.10206435178278321,0.14801297738823835,0.4366500698138963,-0.1873408618544515,0.12476348949726992,0.13048749924102968,0.21454182811325614,0.14149443550250634,0.8180626575454719,1.1343077172077345,2.0352677781014794,-1.3240157550304024,0.4164048332345145,0.2609631609306162,0.04603590321073746,0.1902817304942552,32.11931801023978
