Region_MEP,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_NaturalCover,beta_LE5_Use_ResComMix,beta_COVERNAME_Impervious,se_Intercept,se_NaturalCover,se_LE5_Use_ResComMix,se_COVERNAME_Impervious,t_Intercept,t_NaturalCover,t_LE5_Use_ResComMix,t_COVERNAME_Impervious,p_Intercept,p_NaturalCover,p_LE5_Use_ResComMix,p_COVERNAME_Impervious,sumW_Intercept,sumW_NaturalCover,sumW_LE5_Use_ResComMix,sumW_COVERNAME_Impervious
Cape Cod > Allen > Cold Spring Brook,-70.061295,41.669714,-0.053394577469701957,-0.2686111992961375,0.13066897900673724,-0.18406355647643918,0.32815160601503224,0.06529271681894303,-0.005272512944040884,0.08845099286527836,0.22868738789623674,0.14026638588857723,0.1275725745442649,0.12712823818637875,0.13730079417264948,0.4654908330696515,-0.04132951743645682,0.6957619654541511,1.6655940650181003,0.643185188149169,0.9671639058638781,0.4891366621146144,0.10075981798335566,29.18758439370671,42.702623797230146,42.702623797230146,25.564316123143108
Cape Cod > Allen > E Saquatucket Stream,-70.05788199999999,41.671203000000006,-0.003993089057367468,0.040266579250335915,0.003965938890084229,-0.007959027947451697,0.3275199692391946,0.06384224436419425,-0.005201322787269454,0.08849158759674064,0.2269397619028974,0.14029303028187728,0.12764799357455708,0.12719571061239743,0.1373153364944181,0.45506354974243673,-0.040747391648043786,0.6957120422590383,1.652690571181192,0.6506278930707678,0.9676261400546482,0.48916771834230766,0.10336945830209124,29.221154965627257,42.65603445046279,42.65603445046279,25.635427908839855
Cape Cod > Allen > Un-name Creek at Kilde Rd,-70.086065,41.668484,-0.0970958941421517,-0.653614932755133,0.37378496253742555,-0.47088085667957724,0.3319708047440513,0.0753295164728723,-0.00613025744350674,0.0878345842719697,0.24095765121942805,0.1398307191631462,0.12699108621100608,0.12661731712360172,0.1373553730210041,0.538719366700691,-0.048273131811163626,0.6937011955973371,1.7542644741140292,0.5919790700063712,0.9616512777957319,0.49041952969066704,0.08424798204944488,29.299279432764763,43.337554840846124,43.337554840846124,25.456965841275448
Cape Cod > Barnstable > Alder Brook,-70.384253,41.714883,-0.2510005311190397,0.08668726838937696,-0.20923039237532431,-0.04177013874371538,0.3844817501022877,0.13568653819062182,-0.0259279969195959,0.06869200366127626,0.5691711144579008,0.14188184422094088,0.12572558542355727,0.13040454613363903,0.14346441239976573,0.9563347511844319,-0.20622689353361928,0.5267608047259369,3.9673331172325645,0.3425586280752887,0.837278697291969,0.6002095891211385,0.00018865478037006063,27.704689398972683,41.84363638069888,41.84363638069888,26.538883162413562
Cape Cod > Barnstable > Boat Cove Creek,-70.37943800000001,41.711745,-0.5778103775390981,-0.23517637431400829,-0.248214189976514,-0.32959618756258413,0.38414646143671727,0.14225932254712495,-0.02554054263451402,0.06946251725708182,0.5645371481612813,0.14260963977459637,0.12564326699224046,0.1301870607035125,0.14407667563151924,0.9975435235091743,-0.2032782436013174,0.533559302143517,3.9183104807686107,0.3223168982752095,0.8395727045250113,0.5955239947482907,0.00022222820285101204,27.62138492758199,42.070015283165304,42.070015283165304,26.539451199960112
Cape Cod > Barnstable > Bridge Creek,-70.363259,41.7024369,-0.6481124956643434,-0.29296038145268927,-0.2841566147654833,-0.36395588089886005,0.38263400089722244,0.16585918606213998,-0.02419411118435289,0.07184581042125565,0.5477534140931326,0.14564180523820472,0.12535535525942057,0.12941244650921213,0.1464962595127492,1.1388157802003942,-0.19300420898878734,0.5551692465387505,3.739026620304002,0.2590919117593513,0.8475765389551027,0.58074487473329,0.00040089531638978375,27.102994955987675,42.75504169690431,42.75504169690431,26.29212602040362
Cape Cod > Barnstable > Chase Garden Creek,-70.20151,41.733119,0.13091097545323824,-0.19118936360927288,0.40161699463573386,-0.2707060191824956,0.3427720607725502,0.12408804217812641,-0.012684865008464361,0.08110826524155826,0.31222413880162503,0.13817367365939578,0.1244416651932474,0.12461802362607399,0.1398033894769108,0.8980585005216618,-0.10193422748535097,0.6508550118314336,2.233308791509596,0.372573775860244,0.9191326297494099,0.5175069627305091,0.02908846989463008,28.062274166578383,46.50171624766932,46.50171624766932,23.650706289398933
Cape Cod > Barnstable > Maraspin Creek,-70.28828299999999,41.703134000000006,2.1373714278926674,2.4519311491899765,-0.07023864668782209,2.2076100745804896,0.3647363950291911,0.2243884068187309,-0.01771868974479226,0.0774246711662408,0.4530853195803735,0.15650096847396058,0.12384482214387739,0.12536637956252328,0.15531783123889048,1.4337828641364976,-0.14307170407340467,0.6175871987084641,2.917149408836995,0.15657901970251367,0.8866901737633639,0.5390734968973532,0.004890144341953181,24.235121625726222,45.5396626761528,45.5396626761528,22.7180048650305
Cape Cod > Barnstable > Whites Brook Discharge,-70.22387900000001,41.705088,-0.05624466333964422,0.41138115356118493,-0.1972658818996847,0.14102121856004046,0.3509690514538726,0.16645779713505127,-0.013476119493786057,0.08107760567378922,0.3607531766735169,0.1455760687352371,0.12416459957503982,0.12463812422402604,0.14725407761110867,1.1434420408603856,-0.10853431283883505,0.6505040586783813,2.449868842520271,0.25718151621904733,0.913916807235757,0.5177320662945575,0.017081842831496233,26.387889799147963,46.321820564095866,46.321820564095866,23.49922462628367
Cape Cod > Bass River > Fresh Pond,-70.154567,41.670598,-0.06479492094947145,0.09021689942983052,-0.0474333267571828,-0.01736159419228865,0.34319608739397045,0.11483055541517684,-0.009132756424166708,0.08564451865004846,0.2938407222310977,0.14044344987137278,0.1254836268437247,0.12542296554392093,0.14116052313569488,0.8176284157099966,-0.07278046270961308,0.6828455879561964,2.0816069231242103,0.4166509703758631,0.9422113951558028,0.49720782707746547,0.041447318884305306,28.700053889973447,44.85141275414534,44.85141275414534,24.65907253170903
